Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 9,Santa Fe,2  -  1,Millonarios,El Campín,2010,Apertura
Fecha 9,Junior,0  -  3,Cartagena,Metropolitano Roberto Meléndez,2010,Apertura
Fecha 9,Once Caldas,5  -  1,Pereira,Palogrande,2010,Apertura
Fecha 9,Quindío,1  -  2,Cortuluá,Centenario,2010,Apertura
Fecha 9,Cúcuta,2  -  2,Envigado,General Santander,2010,Apertura
Fecha 9,Boyacá Chicó,2  -  0,La Equidad,De La Independencia,2010,Apertura
Fecha 9,Deportivo Cali,1  -  1,América de Cali,Pascual Guerrero,2010,Apertura
Fecha 9,Medellín,2  -  1,Atlético Nacional,Atanasio Girardot,2010,Apertura
Fecha 10,Pereira,3  -  0,Cartagena,Hernán Ramírez Villegas,2010,Apertura
Fecha 10,Deportivo Cali,3  -  0,Boyacá Chicó,Estadio Pascual Guerrero,2010,Apertura
Fecha 10,Envigado,1  -  7,Medellín,Polideportivo Sur,2010,Apertura
Fecha 10,Tolima,2  -  1,América de Cali,Manuel Murillo Toro,2010,Apertura
Fecha 10,La Equidad,3  -  0,Cortuluá,Alfonso López Pumarejo[36]​,2010,Apertura
Fecha 10,Quindío,0  -  2,Once Caldas,Centenario,2010,Apertura
Fecha 10,Junior,2  -  0,Cúcuta,Metropolitano Roberto Meléndez,2010,Apertura
Fecha 10,Millonarios,2  -  1,Santa Fe,El Campín,2010,Apertura
Fecha 10,Atlético Nacional,2  -  1,Huila,Polideportivo Sur,2010,Apertura
Fecha 11,América de Cali,3  -  2,Millonarios,Pascual Guerrero,2010,Apertura
Fecha 11,Santa Fe,3  -  0,Atlético Nacional,El Campín,2010,Apertura
Fecha 11,Medellín,3  -  0,Cúcuta,Atanasio Girardot,2010,Apertura
Fecha 11,Cartagena,1  -  4,La Equidad,Jaime Morón León,2010,Apertura
Fecha 11,Envigado,2  -  1,Pereira,Polideportivo Sur,2010,Apertura
Fecha 11,Boyacá Chicó,1  -  0,Quindío,De La Independencia,2010,Apertura
Fecha 11,Huila,1  -  0,Deportivo Cali,Guillermo Plazas Alcid,2010,Apertura
Fecha 11,Cortuluá,1  -  5,Tolima,Doce de Octubre,2010,Apertura
Fecha 11,Once Caldas,1  -  0,Junior,Palogrande,2010,Apertura
Fecha 12,Pereira,1  -  2,Medellín,Hernán Ramírez Villegas,2010,Apertura
Fecha 12,La Equidad,2  -  0,Envigado,Alfonso López Pumarejo[36]​,2010,Apertura
Fecha 12,Atlético Nacional,2  -  0,América de Cali,Atanasio Girardot,2010,Apertura
Fecha 12,Tolima,3  -  1,Cartagena,Manuel Murillo Toro,2010,Apertura
Fecha 12,Millonarios,0  -  2,Cortuluá,El Campín,2010,Apertura
Fecha 12,Quindío,2  -  1,Huila,Centenario,2010,Apertura
Fecha 12,Junior,3  -  1,Boyacá Chicó,Metropolitano Roberto Meléndez,2010,Apertura
Fecha 12,Cúcuta,1  -  0,Once Caldas,General Santander,2010,Apertura
Fecha 12,Deportivo Cali,0  -  1,Santa Fe,Estadio Pascual Guerrero,2010,Apertura
Fecha 13,Huila,0  -  0,Junior,Guillermo Plazas Alcid,2010,Apertura
Fecha 13,Cartagena,1  -  0,Millonarios,Jaime Morón León,2010,Apertura
Fecha 13,Cortuluá,0  -  2,Atlético Nacional,Doce de Octubre,2010,Apertura
Fecha 13,Medellín,0  -  0,Once Caldas,Atanasio Girardot,2010,Apertura
Fecha 13,Boyacá Chicó,2  -  0,Cúcuta,De La Independencia,2010,Apertura
Fecha 13,Santa Fe,2  -  1,Quindío,El Campín,2010,Apertura
Fecha 13,Envigado,2  -  3,Tolima,Polideportivo Sur,2010,Apertura
Fecha 13,Pereira,2  -  2,La Equidad,Hernán Ramírez Villegas,2010,Apertura
Fecha 13,América de Cali,1  -  2,Deportivo Cali,Pascual Guerrero,2010,Apertura
Fecha 14,Once Caldas,3  -  3,Boyacá Chicó,Palogrande,2010,Apertura
Fecha 14,Junior,2  -  0,Santa Fe,Metropolitano Roberto Meléndez,2010,Apertura
Fecha 14,Tolima,1  -  0,Pereira,Manuel Murillo Toro,2010,Apertura
Fecha 14,La Equidad,2  -  1,Medellín,Alfonso López Pumarejo[36]​,2010,Apertura
Fecha 14,Millonarios,2  -  1,Envigado,El Campín,2010,Apertura
Fecha 14,Deportivo Cali,5  -  3,Cortuluá,Estadio Pascual Guerrero,2010,Apertura
Fecha 14,Quindío,2  -  0,América de Cali,Centenario,2010,Apertura
Fecha 14,Cúcuta,2  -  3,Huila,General Santander,2010,Apertura
Fecha 14,Atlético Nacional,4  -  2,Cartagena,Atanasio Girardot,2010,Apertura
Fecha 15,Santa Fe,2  -  0,Cúcuta,El Campín,2010,Apertura
Fecha 15,Envigado,2  -  1,Atlético Nacional,Polideportivo Sur,2010,Apertura
Fecha 15,Cartagena,0  -  1,Deportivo Cali,Jaime Morón León,2010,Apertura
Fecha 15,Medellín,0  -  0,Boyacá Chicó,Atanasio Girardot,2010,Apertura
Fecha 15,Huila,3  -  2,Once Caldas,Guillermo Plazas Alcid,2010,Apertura
Fecha 15,Cortuluá,0  -  1,Quindío,Doce de Octubre,2010,Apertura
Fecha 15,Pereira,1  -  1,Millonarios,Hernán Ramírez Villegas,2010,Apertura
Fecha 15,La Equidad,4  -  3,Tolima,Alfonso López Pumarejo[36]​,2010,Apertura
Fecha 15,América de Cali,2  -  2,Junior,Pascual Guerrero,2010,Apertura
Fecha 16,Quindío,0  -  0,Cartagena,Centenario,2010,Apertura
Fecha 16,Tolima,1  -  1,Medellín,Manuel Murillo Toro,2010,Apertura
Fecha 16,Atlético Nacional,3  -  2,Pereira,Atanasio Girardot,2010,Apertura
Fecha 16,Junior,3  -  2,Cortuluá,Metropolitano Roberto Meléndez,2010,Apertura
Fecha 16,Millonarios,1  -  1,La Equidad,El Campín,2010,Apertura
Fecha 16,Deportivo Cali,1  -  0,Envigado,Estadio Deportivo Cali[38]​,2010,Apertura
Fecha 16,Cúcuta,3  -  0,América de Cali,General Santander,2010,Apertura
Fecha 16,Boyacá Chicó,1  -  1,Huila,De La Independencia,2010,Apertura
Fecha 16,Once Caldas,1  -  2,Santa Fe,Palogrande,2010,Apertura
Fecha 17,Envigado,2  -  0,Quindío,Polideportivo Sur,2010,Apertura
Fecha 17,Pereira,1  -  3,Deportivo Cali,Hernán Ramírez Villegas,2010,Apertura
Fecha 17,La Equidad,2  -  1,Atlético Nacional,El Campín[39]​,2010,Apertura
Fecha 17,Cortuluá,0  -  0,Cúcuta,Doce de Octubre,2010,Apertura
Fecha 17,Medellín,3  -  2,Huila,Atanasio Girardot,2010,Apertura
Fecha 17,Cartagena,1  -  0,Junior,Jaime Morón León,2010,Apertura
Fecha 17,América de Cali,2  -  1,Once Caldas,Hernando Azcárate Martínez[40]​,2010,Apertura
Fecha 17,Tolima,2  -  1,Millonarios,Manuel Murillo Toro,2010,Apertura
Fecha 17,Santa Fe,2  -  3,Boyacá Chicó,El Campín,2010,Apertura
Fecha 18,Quindío,1  -  0,Pereira,Centenario,2010,Apertura
Fecha 18,Atlético Nacional,1  -  0,Tolima,Atanasio Girardot,2010,Apertura
Fecha 18,Millonarios,3  -  1,Medellín,El Campín,2010,Apertura
Fecha 18,Deportivo Cali,0  -  0,La Equidad,Estadio Deportivo Cali[38]​,2010,Apertura
Fecha 18,Junior,2  -  0,Envigado,Metropolitano Roberto Meléndez,2010,Apertura
Fecha 18,Huila,3  -  0,Santa Fe,Guillermo Plazas Alcid,2010,Apertura
Fecha 18,Cúcuta,2  -  0,Cartagena,General Santander,2010,Apertura
Fecha 18,Once Caldas,2  -  1,Cortuluá,Palogrande,2010,Apertura
Fecha 18,Boyacá Chicó,1  -  0,América de Cali,De La Independencia,2010,Apertura
