Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,10 de julio,Pasto,2  -  1,Tolima,2005,Finalización
Fecha 1,10 de julio,Quindío,0  -  0,Santa Fe,2005,Finalización
Fecha 1,10 de julio,Real Cartagena,3  -  0,Once Caldas,2005,Finalización
Fecha 1,10 de julio,América de Cali,1  -  0,Atlético Nacional,2005,Finalización
Fecha 1,10 de julio,Junior,2  -  1,Unión Magdalena,2005,Finalización
Fecha 1,10 de julio,Medellín,0  -  1,Deportivo Cali,2005,Finalización
Fecha 1,10 de julio,Pereira,1  -  0,Bucaramanga,2005,Finalización
Fecha 1,10 de julio,Millonarios,2  -  1,Envigado,2005,Finalización
Fecha 1,10 de julio,Huila,3  -  0,Boyacá Chicó,2005,Finalización
Fecha 2,16 de julio,Deportivo Cali,4  -  1,Junior,2005,Finalización
Fecha 2,17 de julio,Tolima,2  -  0,Huila,2005,Finalización
Fecha 2,17 de julio,Boyacá Chicó,0  -  2,Millonarios,2005,Finalización
Fecha 2,17 de julio,Envigado,2  -  1,Pereira,2005,Finalización
Fecha 2,17 de julio,Bucaramanga,4  -  0,Medellín,2005,Finalización
Fecha 2,17 de julio,Unión Magdalena,1  -  3,América de Cali,2005,Finalización
Fecha 2,17 de julio,Atlético Nacional,1  -  1,Real Cartagena,2005,Finalización
Fecha 2,17 de julio,Once Caldas,1  -  0,Quindío,2005,Finalización
Fecha 2,17 de julio,Santa Fe,2  -  0,Pasto,2005,Finalización
Fecha 3,23 de julio,Millonarios,2  -  0,Huila,2005,Finalización
Fecha 3,24 de julio,Tolima,2  -  1,Santa Fe,2005,Finalización
Fecha 3,24 de julio,Pasto,0  -  0,Once Caldas,2005,Finalización
Fecha 3,24 de julio,Quindío,1  -  1,Atlético Nacional,2005,Finalización
Fecha 3,24 de julio,Real Cartagena,2  -  1,Unión Magdalena,2005,Finalización
Fecha 3,24 de julio,Junior,0  -  0,Bucaramanga,2005,Finalización
Fecha 3,24 de julio,Medellín,1  -  1,Envigado,2005,Finalización
Fecha 3,24 de julio,Pereira,2  -  0,Boyacá Chicó,2005,Finalización
Fecha 3,24 de julio,América de Cali,2  -  0,Deportivo Cali,2005,Finalización
Fecha 4,30 de julio,Once Caldas,0  -  0,Santa Fe,2005,Finalización
Fecha 4,31 de julio,Millonarios,2  -  0,Tolima,2005,Finalización
Fecha 4,31 de julio,Envigado,3  -  0,Junior,2005,Finalización
Fecha 4,31 de julio,Boyacá Chicó,2  -  1,Medellín,2005,Finalización
Fecha 4,31 de julio,Bucaramanga,0  -  2,América de Cali,2005,Finalización
Fecha 4,31 de julio,Deportivo Cali,2  -  2,Real Cartagena,2005,Finalización
Fecha 4,31 de julio,Unión Magdalena,0  -  1,Quindío,2005,Finalización
Fecha 4,31 de julio,Atlético Nacional,1  -  0,Pasto,2005,Finalización
Fecha 4,31 de julio,Huila,1  -  2,Pereira,2005,Finalización
Fecha 5,3 de agosto,Tolima,3  -  1,Once Caldas,2005,Finalización
Fecha 5,3 de agosto,Santa Fe,1  -  2,Atlético Nacional,2005,Finalización
Fecha 5,3 de agosto,Pasto,1  -  1,Unión Magdalena,2005,Finalización
Fecha 5,3 de agosto,Quindío,1  -  1,Deportivo Cali,2005,Finalización
Fecha 5,3 de agosto,Real Cartagena,3  -  0,Bucaramanga,2005,Finalización
Fecha 5,3 de agosto,América de Cali,1  -  0,Envigado,2005,Finalización
Fecha 5,3 de agosto,Junior,2  -  1,Boyacá Chicó,2005,Finalización
