Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,19 de julio,Envigado,1  -  1,Pereira,2008,Finalización
Fecha 1,19 de julio,Huila,2  -  1,América de Cali,2008,Finalización
Fecha 1,19 de julio,Medellín,0  -  1,Millonarios,2008,Finalización
Fecha 1,19 de julio,Santa Fe,5  -  0,Atlético Nacional,2008,Finalización
Fecha 1,19 de julio,Bucaramanga,1  -  0,Cúcuta,2008,Finalización
Fecha 1,20 de julio,La Equidad,1  -  1,Quindío,2008,Finalización
Fecha 1,20 de julio,Boyacá Chicó,1  -  0,Pasto,2008,Finalización
Fecha 1,20 de julio,Deportivo Cali,1  -  2,Tolima,2008,Finalización
Fecha 1,20 de julio,Once Caldas,2  -  1,Junior,2008,Finalización
Fecha 2,26 de julio,Millonarios,2  -  3,Deportivo Cali,2008,Finalización
Fecha 2,26 de julio,Pereira,3  -  1,Medellín,2008,Finalización
Fecha 2,27 de julio,Atlético Nacional,2  -  0,Once Caldas,2008,Finalización
Fecha 2,27 de julio,Cúcuta,2  -  2,Envigado,2008,Finalización
Fecha 2,27 de julio,Pasto,1  -  0,Huila,2008,Finalización
Fecha 2,27 de julio,Junior,2 -  0,Bucaramanga,2008,Finalización
Fecha 2,27 de julio,Tolima,1  -  0,La Equidad,2008,Finalización
Fecha 2,27 de julio,América de Cali,2  -  0,Santa Fe,2008,Finalización
Fecha 3,2 de agosto,Quindío,0  -  0,Tolima,2008,Finalización
Fecha 3,2 de agosto,Huila,1  -  1,Boyacá Chicó,2008,Finalización
Fecha 3,2 de agosto,Deportivo Cali,5  -  0,Pereira,2008,Finalización
Fecha 3,3 de agosto,La Equidad,2  -  3,Millonarios,2008,Finalización
Fecha 3,3 de agosto,Medellín,1  -  0,Cúcuta,2008,Finalización
Fecha 3,3 de agosto,Envigado,1  -  0,Junior,2008,Finalización
Fecha 3,3 de agosto,Bucaramanga,1  -  1,Atlético Nacional,2008,Finalización
Fecha 3,3 de agosto,Santa Fe,0  -  0,Pasto,2008,Finalización
