Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Boyacá Chicó,0 : 1,Once Caldas,La Independencia,2024,Finalización
Fecha 1,Envigado F. C.,2 : 1,La Equidad,Polideportivo Sur,2024,Finalización
Fecha 1,Águilas Doradas,1 : 2,América de Cali,Alberto Grisales,2024,Finalización
Fecha 1,Deportivo Cali,0 : 2,Deportivo Pereira,Deportivo Cali,2024,Finalización
Fecha 1,Santa Fe,2 : 1,Deportivo Pasto,Nemesio Camacho El Campín,2024,Finalización
Fecha 1,Alianza F. C.,0 : 2,Atlético Nacional,Armando Maestre Pavajeau,2024,Finalización
Fecha 1,Atlético Bucaramanga,1 : 0,Junior,Américo Montanini,2024,Finalización
Fecha 1,Independiente Medellín,1 : 1,Millonarios,Atanasio Girardot,2024,Finalización
Fecha 1,Jaguares,0 : 0,Patriotas,Jaraguay,2024,Finalización
Fecha 1,Fortaleza CEIF,1 : 1,Deportes Tolima,Parque Estadio Olaya Herrera,2024,Finalización
Fecha 2,Envigado F. C.,0 : 1,Santa Fe,Polideportivo Sur,2024,Finalización
Fecha 2,Once Caldas,1 : 0,Águilas Doradas,Palogrande,2024,Finalización
Fecha 2,Millonarios,1 : 0,Atlético Bucaramanga,Nemesio Camacho El Campín,2024,Finalización
Fecha 2,Atlético Nacional,2 : 1,América de Cali,Atanasio Girardot,2024,Finalización
Fecha 2,Junior,2 : 1,Boyacá Chicó,Metropolitano Roberto Meléndez,2024,Finalización
Fecha 2,Deportivo Cali,1 : 0,Alianza F. C.,Deportivo Cali,2024,Finalización
Fecha 2,Deportivo Pereira,1 : 1,Independiente Medellín,Hernán Ramírez Villegas,2024,Finalización
Fecha 2,Patriotas,0 : 2,Fortaleza CEIF,La Independencia,2024,Finalización
Fecha 2,La Equidad,1 : 0,Jaguares,Parque Estadio Olaya Herrera,2024,Finalización
Fecha 2,Deportes Tolima,2 : 1,Deportivo Pasto,Manuel Murillo Toro,2024,Finalización
Fecha 3,Once Caldas,2 : 0,Atlético Nacional,Palogrande,2024,Finalización
Fecha 3,Santa Fe,0 : 1,La Equidad,Nemesio Camacho El Campín,2024,Finalización
Fecha 3,Independiente Medellín,0 : 0,Junior,Atanasio Girardot,2024,Finalización
Fecha 3,Atlético Bucaramanga,0 : 0,Jaguares,Américo Montanini,2024,Finalización
Fecha 3,Alianza F. C.,2 : 1,Millonarios,Armando Maestre Pavajeau,2024,Finalización
Fecha 3,Deportivo Pasto,2 : 0,Deportivo Pereira,Departamental Libertad,2024,Finalización
Fecha 3,Fortaleza CEIF,2 : 1,Deportivo Cali,Parque Estadio Olaya Herrera,2024,Finalización
Fecha 3,Águilas Doradas,3 : 2,Patriotas,Arturo Cumplido Sierra,2024,Finalización
Fecha 3,Boyacá Chicó,0 : 0,Envigado F. C.,La Independencia,2024,Finalización
Fecha 3,América de Cali,1 : 0,Deportes Tolima,Bello Horizonte - Rey Pelé,2024,Finalización
Fecha 4,Millonarios,1 : 0,Deportes Tolima,Nemesio Camacho El Campín,2024,Finalización
Fecha 4,Envigado F. C.,0 : 1,Fortaleza CEIF,Polideportivo Sur,2024,Finalización
Fecha 4,Jaguares,0 : 0,Deportivo Pasto,Jaraguay,2024,Finalización
Fecha 4,La Equidad,1 : 1,Once Caldas,Parque Estadio Olaya Herrera,2024,Finalización
Fecha 4,Patriotas,1 : 1,América de Cali,La Independencia,2024,Finalización
Fecha 4,Junior,2 : 2,Alianza F. C.,Metropolitano Roberto Meléndez,2024,Finalización
Fecha 4,Deportivo Cali,2 : 0,Independiente Medellín,Deportivo Cali,2024,Finalización
Fecha 4,Atlético Nacional,1 : 1,Águilas Doradas,Atanasio Girardot,2024,Finalización
Fecha 4,Deportivo Pereira,1 : 0,Boyacá Chicó,Hernán Ramírez Villegas,2024,Finalización
Fecha 4,Atlético Bucaramanga,0 : 1,Santa Fe,Américo Montanini,2024,Finalización
Fecha 5,Atlético Nacional,3 : 1,Patriotas,Atanasio Girardot,2024,Finalización
Fecha 5,Deportes Tolima,5 : 1,La Equidad,Manuel Murillo Toro,2024,Finalización
Fecha 5,Boyacá Chicó,1 : 0,Deportivo Cali,La Independencia,2024,Finalización
Fecha 5,Once Caldas,2 : 1,Atlético Bucaramanga,Palogrande,2024,Finalización
Fecha 5,Alianza F. C.,1 : 1,Envigado F. C.,Armando Maestre Pavajeau,2024,Finalización
Fecha 5,Fortaleza CEIF,1 : 0,Deportivo Pereira,Parque Estadio Olaya Herrera,2024,Finalización
Fecha 5,Águilas Doradas,1 : 0,Jaguares,Arturo Cumplido Sierra,2024,Finalización
Fecha 5,Deportivo Pasto,1 : 0,Junior,Departamental Libertad,2024,Finalización
Fecha 5,América de Cali,2 : 1,Millonarios,Olímpico Pascual Guerrero,2024,Finalización
Fecha 5,Santa Fe,1 : 1,Independiente Medellín,Nemesio Camacho El Campín,2024,Finalización
Fecha 6,Millonarios,1 : 2,Atlético Nacional,Nemesio Camacho El Campín,2024,Finalización
Fecha 6,Independiente Medellín,1 : 0,Boyacá Chicó,Atanasio Girardot,2024,Finalización
Fecha 6,Junior,2 : 1,Fortaleza CEIF,Metropolitano Roberto Meléndez,2024,Finalización
Fecha 6,La Equidad,0 : 0,Águilas Doradas,Parque Estadio Olaya Herrera,2024,Finalización
Fecha 6,Atlético Bucaramanga,1 : 2,América de Cali,Américo Montanini,2024,Finalización
Fecha 6,Patriotas,3 : 1,Once Caldas,La Independencia,2024,Finalización
Fecha 6,Jaguares,0 : 2,Deportes Tolima,Jaraguay,2024,Finalización
Fecha 6,Deportivo Cali,1 : 3,Santa Fe,Deportivo Cali,2024,Finalización
Fecha 6,Deportivo Pereira,1 : 0,Alianza F. C.,Hernán Ramírez Villegas,2024,Finalización
Fecha 6,Envigado F. C.,0 : 1,Deportivo Pasto,Polideportivo Sur,2024,Finalización
Fecha 7,América de Cali,4 : 0,Envigado F. C.,Francisco Rivera Escobar,2024,Finalización
Fecha 7,Deportivo Pasto,1 : 2,Atlético Bucaramanga,Departamental Libertad,2024,Finalización
Fecha 7,Patriotas,0 : 0,La Equidad,La Independencia,2024,Finalización
Fecha 7,Alianza F. C.,4 : 0,Boyacá Chicó,Armando Maestre Pavajeau,2024,Finalización
Fecha 7,Deportes Tolima,0 : 1,Junior,Manuel Murillo Toro,2024,Finalización
Fecha 7,Águilas Doradas,2 : 1,Millonarios,Arturo Cumplido Sierra,2024,Finalización
Fecha 7,Once Caldas,2 : 0,Jaguares,Palogrande,2024,Finalización
Fecha 7,Fortaleza CEIF,2 : 2,Independiente Medellín,Parque Estadio Olaya Herrera,2024,Finalización
Fecha 7,Santa Fe,1 : 1,Deportivo Pereira,Nemesio Camacho El Campín,2024,Finalización
Fecha 7,Atlético Nacional,1 : 1,Deportivo Cali,Atanasio Girardot,2024,Finalización
Fecha 8,Jaguares,0 : 2,Atlético Nacional,Jaraguay,2024,Finalización
Fecha 8,Boyacá Chicó,2 : 2,Fortaleza CEIF,La Independencia,2024,Finalización
Fecha 8,Atlético Bucaramanga,0 : 2,Deportes Tolima,Américo Montanini,2024,Finalización
Fecha 8,Millonarios,3 : 0,Patriotas,Bello Horizonte - Rey Pelé,2024,Finalización
Fecha 8,Junior,1 : 1,Santa Fe,Metropolitano Roberto Meléndez,2024,Finalización
Fecha 8,Deportivo Cali,0 : 3(W.O.)[n. 2]​,Deportivo Pasto,Deportivo Cali,2024,Finalización
Fecha 8,Deportivo Pereira,0 : 1,Once Caldas,Hernán Ramírez Villegas,2024,Finalización
Fecha 8,Independiente Medellín,2 : 0,Alianza F. C.,Atanasio Girardot,2024,Finalización
Fecha 8,La Equidad,2 : 2,América de Cali,Nemesio Camacho El Campín,2024,Finalización
Fecha 8,Envigado F. C.,3 : 0,Águilas Doradas,Polideportivo Sur,2024,Finalización
Fecha 9,Atlético Nacional,0 : 1,La Equidad,Atanasio Girardot,2024,Finalización
Fecha 9,Patriotas,2 : 0,Envigado F. C.,La Independencia,2024,Finalización
Fecha 9,América de Cali,1 : 0,Jaguares,Bello Horizonte - Rey Pelé,2024,Finalización
Fecha 9,Deportes Tolima,1 : 1,Deportivo Cali,Manuel Murillo Toro,2024,Finalización
Fecha 9,Once Caldas,1 : 1,Millonarios,Palogrande,2024,Finalización
Fecha 9,Alianza F. C.,1 : 1,Fortaleza CEIF,Armando Maestre Pavajeau,2024,Finalización
Fecha 9,Deportivo Pasto,1 : 0,Independiente Medellín,Departamental Libertad,2024,Finalización
Fecha 9,Santa Fe,3 : 1,Boyacá Chicó,Nemesio Camacho El Campín,2024,Finalización
Fecha 9,Junior,3 : 1,Deportivo Pereira,Metropolitano Roberto Meléndez,2024,Finalización
Fecha 9,Águilas Doradas,1 : 3,Atlético Bucaramanga,Arturo Cumplido Sierra,2024,Finalización
Fecha 10,Patriotas,1 : 2,Atlético Bucaramanga,La Independencia,2024,Finalización
Fecha 10,Jaguares,2 : 1,Envigado F. C.,Jaraguay,2024,Finalización
Fecha 10,Once Caldas,4 : 1,Deportivo Cali,Palogrande,2024,Finalización
Fecha 10,Deportes Tolima,2 : 1,Boyacá Chicó,Manuel Murillo Toro,2024,Finalización
Fecha 10,Fortaleza CEIF,0 : 0,Deportivo Pasto,Metropolitano de Techo,2024,Finalización
Fecha 10,Águilas Doradas,1 : 1,Independiente Medellín,Arturo Cumplido Sierra,2024,Finalización
Fecha 10,América de Cali,1 : 0,Deportivo Pereira,Bello Horizonte - Rey Pelé,2024,Finalización
Fecha 10,La Equidad,1 : 3,Millonarios,Metropolitano de Techo,2024,Finalización
Fecha 10,Santa Fe,2 : 0,Alianza F. C.,Nemesio Camacho El Campín,2024,Finalización
Fecha 10,Atlético Nacional,0 : 3(W.O.)[n. 3]​,Junior,Atanasio Girardot,2024,Finalización
Fecha 11,Deportivo Pereira,0 : 1,Patriotas,Hernán Ramírez Villegas,2024,Finalización
Fecha 11,Envigado F. C.,0 : 1,Once Caldas,Polideportivo Sur,2024,Finalización
Fecha 11,Deportivo Cali,1 : 1,La Equidad,Deportivo Cali,2024,Finalización
Fecha 11,Fortaleza CEIF,1 : 3,Santa Fe,Metropolitano de Techo,2024,Finalización
Fecha 11,Independiente Medellín,0 : 1,Deportes Tolima,Atanasio Girardot,2024,Finalización
Fecha 11,Boyacá Chicó,1 : 0,Deportivo Pasto,La Independencia,2024,Finalización
Fecha 11,Alianza F. C.,0 : 1,América de Cali,Armando Maestre Pavajeau,2024,Finalización
Fecha 11,Junior,3 : 4,Águilas Doradas,Metropolitano Roberto Meléndez,2024,Finalización
Fecha 11,Atlético Bucaramanga,1 : 0,Atlético Nacional,Américo Montanini,2024,Finalización
Fecha 11,Millonarios,0 : 0,Jaguares,Nemesio Camacho El Campín,2024,Finalización
Fecha 12,Águilas Doradas,1 : 1,Deportivo Pereira,Arturo Cumplido Sierra,2024,Finalización
Fecha 12,La Equidad,0 : 1,Atlético Bucaramanga,Metropolitano de Techo,2024,Finalización
Fecha 12,Once Caldas,0 : 2,Independiente Medellín,Palogrande,2024,Finalización
Fecha 12,América de Cali,1 : 1,Fortaleza CEIF,Olímpico Pascual Guerrero,2024,Finalización
Fecha 12,Millonarios,3 : 0,Envigado F. C.,Nemesio Camacho El Campín,2024,Finalización
Fecha 12,Atlético Nacional,6 : 2,Boyacá Chicó,Atanasio Girardot,2024,Finalización
Fecha 12,Jaguares,1 : 1,Junior,Jaraguay,2024,Finalización
Fecha 12,Deportes Tolima,0 : 0,Santa Fe,Manuel Murillo Toro,2024,Finalización
Fecha 12,Deportivo Pasto,1 : 0,Alianza F. C.,Departamental Libertad,2024,Finalización
Fecha 12,Patriotas,2 : 2,Deportivo Cali,La Independencia,2024,Finalización
Fecha 13,Deportivo Cali,0 : 1,Millonarios,Deportivo Cali,2024,Finalización
Fecha 13,Envigado F. C.,0 : 0,Atlético Bucaramanga,Polideportivo Sur,2024,Finalización
