Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Águilas Doradas,1 : 1,Atlético Bucaramanga,Alberto Grisales,2022,Apertura
Fecha 1,América de Cali,1 : 0,Envigado F. C.,Olímpico Pascual Guerrero,2022,Apertura
Fecha 1,Santa Fe,1 : 1,La Equidad,Nemesio Camacho El Campín,2022,Apertura
Fecha 1,Deportivo Pasto,0 : 1,Millonarios,Departamental Libertad,2022,Apertura
Fecha 1,Cortuluá,1 : 1,Atlético Nacional,Doce de Octubre,2022,Apertura
Fecha 1,Once Caldas,1 : 1,Unión Magdalena,Palogrande,2022,Apertura
Fecha 1,Junior,3 : 1,Patriotas,Metropolitano Roberto Meléndez,2022,Apertura
Fecha 1,Independiente Medellín,1 : 0,Deportes Tolima,Atanasio Girardot,2022,Apertura
Fecha 1,Jaguares,2 : 1,Deportivo Cali,Jaraguay,2022,Apertura
Fecha 1,Alianza Petrolera,2 : 1,Deportivo Pereira,Daniel Villa Zapata,2022,Apertura
Fecha 2,Envigado F. C.,1 : 0,Deportivo Pasto,Polideportivo Sur,2022,Apertura
Fecha 2,Santa Fe,3 : 0,Águilas Doradas,Nemesio Camacho El Campín,2022,Apertura
Fecha 2,Atlético Bucaramanga,0 : 0,Millonarios,Alfonso López,2022,Apertura
Fecha 2,La Equidad,1 : 2,Once Caldas,Metropolitano de Techo,2022,Apertura
Fecha 2,Jaguares,2 : 1,Cortuluá,Jaraguay,2022,Apertura
Fecha 2,Deportivo Cali,0 : 1,Deportes Tolima,Deportivo Cali,2022,Apertura
Fecha 2,Atlético Nacional,3 : 1,Junior,Atanasio Girardot,2022,Apertura
Fecha 2,Unión Magdalena,0 : 0,Alianza Petrolera,Sierra Nevada,2022,Apertura
Fecha 2,Patriotas,2 : 0,Independiente Medellín,La Independencia,2022,Apertura
Fecha 2,Deportivo Pereira,1 : 1,América de Cali,Hernán Ramírez Villegas,2022,Apertura
Fecha 3,Cortuluá,1 : 1,Santa Fe,Doce de Octubre,2022,Apertura
Fecha 3,Águilas Doradas,1 : 1,Once Caldas,Alberto Grisales,2022,Apertura
Fecha 3,Junior,1 : 0,La Equidad,Metropolitano Roberto Meléndez,2022,Apertura
Fecha 3,Millonarios,0 : 2,Atlético Nacional,Nemesio Camacho El Campín,2022,Apertura
Fecha 3,Patriotas,2 : 3,Deportivo Pereira,La Independencia,2022,Apertura
Fecha 3,Independiente Medellín,2 : 0,Deportivo Cali,Atanasio Girardot,2022,Apertura
Fecha 3,América de Cali,3 : 0,Atlético Bucaramanga,Olímpico Pascual Guerrero,2022,Apertura
Fecha 3,Alianza Petrolera,2 : 2,Envigado F. C.,Daniel Villa Zapata,2022,Apertura
Fecha 3,Deportivo Pasto,1 : 1,Jaguares,Departamental Libertad,2022,Apertura
Fecha 3,Deportes Tolima,2 : 1,Unión Magdalena,Manuel Murillo Toro,2022,Apertura
Fecha 4,Atlético Bucaramanga,2 : 1,Alianza Petrolera,Alfonso López,2022,Apertura
Fecha 4,Envigado F. C.,0 : 0,Millonarios,Polideportivo Sur,2022,Apertura
Fecha 4,Deportivo Cali,1 : 0,Deportivo Pereira,Deportivo Cali,2022,Apertura
Fecha 4,Santa Fe,2 : 1,Junior,Nemesio Camacho El Campín,2022,Apertura
Fecha 4,La Equidad,0 : 1,Águilas Doradas,Metropolitano de Techo,2022,Apertura
Fecha 4,Unión Magdalena,0 : 0,Deportivo Pasto,Sierra Nevada,2022,Apertura
Fecha 4,Jaguares,3 : 1,Patriotas,Jaraguay,2022,Apertura
Fecha 4,Atlético Nacional,0 : 1,Deportes Tolima,Atanasio Girardot,2022,Apertura
Fecha 4,Cortuluá,2 : 0,América de Cali,Doce de Octubre,2022,Apertura
Fecha 4,Once Caldas,2 : 1,Independiente Medellín,Palogrande,2022,Apertura
Fecha 5,Envigado F. C.,1 : 0,Deportivo Cali,Polideportivo Sur,2022,Apertura
Fecha 5,Patriotas,0 : 1,La Equidad,La Independencia,2022,Apertura
Fecha 5,Deportes Tolima,2 : 1,Atlético Bucaramanga,Manuel Murillo Toro,2022,Apertura
