Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Envigado F. C.,1 : 3,Atlético Bucaramanga,Polideportivo Sur,2023,Finalización
Fecha 1,Atlético Huila,2 : 1,Unión Magdalena,Guillermo Plazas Alcid,2023,Finalización
Fecha 1,Independiente Medellín,2 : 2,La Equidad,Atanasio Girardot,2023,Finalización
Fecha 1,Junior,0 : 1,Águilas Doradas,Metropolitano Roberto Meléndez,2023,Finalización
Fecha 1,Deportivo Pasto,0 : 0,Millonarios,Departamental Libertad,2023,Finalización
Fecha 1,América de Cali,1 : 0,Deportes Tolima,Olímpico Pascual Guerrero,2023,Finalización
Fecha 1,Once Caldas,1 : 1,Atlético Nacional,Palogrande,2023,Finalización
Fecha 1,Deportivo Pereira,0 : 2,Deportivo Cali,Hernán Ramírez Villegas,2023,Finalización
Fecha 1,Santa Fe,1 : 0,Jaguares,Nemesio Camacho El Campín,2023,Finalización
Fecha 1,Alianza Petrolera,1 : 1,Boyacá Chicó,Daniel Villa Zapata,2023,Finalización
Fecha 6,Deportivo Pereira,3 : 0,Jaguares,Hernán Ramírez Villegas,2023,Finalización
Fecha 6,Unión Magdalena,2 : 2,Santa Fe,Sierra Nevada,2023,Finalización
Fecha 6,La Equidad,0 : 0,Junior,Metropolitano de Techo,2023,Finalización
Fecha 6,Deportivo Pasto,1 : 1,Boyacá Chicó,Departamental Libertad,2023,Finalización
Fecha 6,Independiente Medellín,2 : 1,Alianza Petrolera,Atanasio Girardot,2023,Finalización
Fecha 6,Atlético Huila,0 : 1,Atlético Nacional,Guillermo Plazas Alcid,2023,Finalización
Fecha 6,Atlético Bucaramanga,1 : 1,Águilas Doradas,Alfonso López,2023,Finalización
Fecha 6,Millonarios,2 : 1,Once Caldas,Nemesio Camacho El Campín,2023,Finalización
Fecha 6,Envigado F. C.,0 : 0,América de Cali,Polideportivo Sur,2023,Finalización
Fecha 6,Deportivo Cali,2 : 0,Deportes Tolima,Deportivo Cali,2023,Finalización
Fecha 7,Jaguares,0 : 1,Unión Magdalena,Jaraguay,2023,Finalización
Fecha 7,Alianza Petrolera,1 : 0,La Equidad,Daniel Villa Zapata,2023,Finalización
Fecha 7,Santa Fe,2 : 0,Envigado F. C.,Nemesio Camacho El Campín,2023,Finalización
Fecha 7,Junior,4 : 3,América de Cali,Metropolitano Roberto Meléndez,2023,Finalización
Fecha 7,Boyacá Chicó,1 : 1,Atlético Huila,La Independencia,2023,Finalización
Fecha 7,Atlético Nacional,2 : 0,Deportivo Pasto,Atanasio Girardot,2023,Finalización
Fecha 7,Deportivo Cali,0 : 0,Millonarios,Deportivo Cali,2023,Finalización
Fecha 7,Once Caldas,1 : 0,Atlético Bucaramanga,Palogrande,2023,Finalización
Fecha 7,Águilas Doradas,1 : 1,Independiente Medellín,Alberto Grisales,2023,Finalización
Fecha 7,Deportes Tolima,2 : 3,Deportivo Pereira,Manuel Murillo Toro,2023,Finalización
Fecha 8,Envigado F. C.,1 : 2,Junior,Polideportivo Sur,2023,Finalización
Fecha 8,Unión Magdalena,2 : 0,Alianza Petrolera,Sierra Nevada,2023,Finalización
Fecha 8,La Equidad,0 : 0,Deportes Tolima,Metropolitano de Techo,2023,Finalización
Fecha 8,Millonarios,1 : 0,Atlético Nacional,Nemesio Camacho El Campín,2023,Finalización
Fecha 8,América de Cali,2 : 0,Santa Fe,Olímpico Pascual Guerrero,2023,Finalización
Fecha 8,Atlético Huila,0 : 0,Jaguares,Guillermo Plazas Alcid,2023,Finalización
Fecha 8,Independiente Medellín,1 : 1,Boyacá Chicó,Atanasio Girardot,2023,Finalización
Fecha 8,Atlético Bucaramanga,1 : 0,Deportivo Cali,Alfonso López,2023,Finalización
Fecha 8,Deportivo Pasto,1 : 0,Once Caldas,Departamental Libertad,2023,Finalización
Fecha 8,Deportivo Pereira,0 : 0,Águilas Doradas,Hernán Ramírez Villegas,2023,Finalización
Fecha 9,Boyacá Chicó,1 : 0,Envigado F. C.,La Independencia,2023,Finalización
Fecha 9,Deportes Tolima,0 : 0,Atlético Bucaramanga,Manuel Murillo Toro,2023,Finalización
Fecha 9,Jaguares,1 : 1,Independiente Medellín,Jaraguay,2023,Finalización
Fecha 9,Santa Fe,1 : 0,Junior,Nemesio Camacho El Campín,2023,Finalización
Fecha 9,Alianza Petrolera,2 : 3,América de Cali,Daniel Villa Zapata,2023,Finalización
Fecha 9,Atlético Nacional,2 : 0,Deportivo Pereira,Atanasio Girardot,2023,Finalización
Fecha 9,Águilas Doradas,2 : 0,Millonarios,Alberto Grisales,2023,Finalización
Fecha 9,Deportivo Cali,4 : 0,Deportivo Pasto,Deportivo Cali,2023,Finalización
Fecha 9,Unión Magdalena,1 : 0,La Equidad,Sierra Nevada,2023,Finalización
Fecha 9,Once Caldas,1 : 2,Atlético Huila,Palogrande,2023,Finalización
Fecha 10,Deportivo Pasto,1 : 0,Jaguares,Departamental Libertad,2023,Finalización
Fecha 10,La Equidad,0 : 0,Boyacá Chicó,Metropolitano de Techo,2023,Finalización
Fecha 10,Junior,7 : 1,Unión Magdalena,Metropolitano Roberto Meléndez,2023,Finalización
Fecha 10,Independiente Medellín,1 : 0,Atlético Nacional,Atanasio Girardot,2023,Finalización
Fecha 10,Deportivo Pereira,1 : 2,Once Caldas,Hernán Ramírez Villegas,2023,Finalización
Fecha 10,América de Cali,3 : 0,Deportivo Cali,Olímpico Pascual Guerrero,2023,Finalización
Fecha 10,Millonarios,2 : 4,Santa Fe,Nemesio Camacho El Campín,2023,Finalización
Fecha 10,Envigado F. C.,2 : 2,Águilas Doradas,Polideportivo Sur,2023,Finalización
Fecha 10,Atlético Huila,3 : 0,Deportes Tolima,Guillermo Plazas Alcid,2023,Finalización
Fecha 10,Atlético Bucaramanga,0 : 1,Alianza Petrolera,Alfonso López,2023,Finalización
Fecha 11,Deportivo Pereira,2 : 1,Deportivo Pasto,Hernán Ramírez Villegas,2023,Finalización
Fecha 11,Boyacá Chicó,1 : 1,Santa Fe,La Independencia,2023,Finalización
Fecha 11,Jaguares,0 : 1,América de Cali,Jaraguay,2023,Finalización
Fecha 11,Atlético Nacional,5 : 0,La Equidad,Atanasio Girardot,2023,Finalización
Fecha 11,Deportes Tolima,1 : 1,Independiente Medellín,Manuel Murillo Toro,2023,Finalización
Fecha 11,Águilas Doradas,2 : 1,Unión Magdalena,Alberto Grisales,2023,Finalización
Fecha 11,Deportivo Cali,1 : 0,Atlético Huila,Deportivo Cali,2023,Finalización
Fecha 11,Alianza Petrolera,1 : 5,Junior,Daniel Villa Zapata,2023,Finalización
Fecha 11,Once Caldas,0 : 0,Envigado F. C.,Palogrande,2023,Finalización
Fecha 11,Millonarios,3 : 0,Atlético Bucaramanga,Nemesio Camacho El Campín,2023,Finalización
Fecha 12,América de Cali,5 : 0,Boyacá Chicó,Olímpico Pascual Guerrero,2023,Finalización
Fecha 12,Santa Fe,0 : 1,Alianza Petrolera,Nemesio Camacho El Campín,2023,Finalización
Fecha 12,Junior,1 : 1,Atlético Nacional,Metropolitano Roberto Meléndez,2023,Finalización
Fecha 12,Atlético Huila,1 : 1,Águilas Doradas,Guillermo Plazas Alcid,2023,Finalización
Fecha 12,Deportivo Pasto,1 : 2,Deportes Tolima,Departamental Libertad,2023,Finalización
Fecha 12,Envigado F. C.,1 : 0,Jaguares,Polideportivo Sur,2023,Finalización
Fecha 12,Unión Magdalena,1 : 1,Once Caldas,Sierra Nevada,2023,Finalización
Fecha 12,Atlético Bucaramanga,1 : 1,Deportivo Pereira,Alfonso López,2023,Finalización
Fecha 12,Independiente Medellín,1 : 1,Millonarios,Atanasio Girardot,2023,Finalización
Fecha 12,La Equidad,1 : 1,Deportivo Cali,Metropolitano de Techo,2023,Finalización
Fecha 13,Boyacá Chicó,2 : 1,Junior,La Independencia,2023,Finalización
Fecha 13,Águilas Doradas,2 : 2,América de Cali,Alberto Grisales,2023,Finalización
Fecha 13,Atlético Nacional,3 : 0,Santa Fe,Atanasio Girardot,2023,Finalización
Fecha 13,Deportivo Pereira,1 : 2,Unión Magdalena,Hernán Ramírez Villegas,2023,Finalización
Fecha 13,Deportes Tolima,2 : 0,Envigado F. C.,Manuel Murillo Toro,2023,Finalización
Fecha 13,Atlético Bucaramanga,0 : 2,Deportivo Pasto,Alfonso López,2023,Finalización
Fecha 13,Millonarios,2 : 1,Atlético Huila,Nemesio Camacho El Campín,2023,Finalización
Fecha 13,Jaguares,0 : 0,Alianza Petrolera,Jaraguay,2023,Finalización
Fecha 13,Once Caldas,1 : 1,La Equidad,Palogrande,2023,Finalización
Fecha 13,Deportivo Cali,2 : 2,Independiente Medellín,Deportivo Cali,2023,Finalización
Fecha 14,Boyacá Chicó,0 : 1,Águilas Doradas,La Independencia,2023,Finalización
Fecha 14,América de Cali,4 : 1,Atlético Nacional,Olímpico Pascual Guerrero,2023,Finalización
Fecha 14,Santa Fe,1 : 0,Deportivo Pereira,Nemesio Camacho El Campín,2023,Finalización
Fecha 14,Junior,0 : 1,Deportes Tolima,Metropolitano Roberto Meléndez,2023,Finalización
Fecha 14,Envigado F. C.,1 : 2,Millonarios,Polideportivo Sur,2023,Finalización
Fecha 14,La Equidad,2 : 0,Jaguares,Metropolitano de Techo,2023,Finalización
Fecha 14,Alianza Petrolera,2 : 1,Once Caldas,Daniel Villa Zapata,2023,Finalización
Fecha 14,Independiente Medellín,2 : 0,Atlético Bucaramanga,Atanasio Girardot,2023,Finalización
Fecha 14,Unión Magdalena,3 : 4,Deportivo Cali,Sierra Nevada,2023,Finalización
Fecha 14,Deportivo Pasto,1 : 0,Atlético Huila,Departamental Libertad,2023,Finalización
Fecha 15,Jaguares,0 : 0,Junior,Jaraguay,2023,Finalización
Fecha 15,Deportes Tolima,2 : 0,Boyacá Chicó,Manuel Murillo Toro,2023,Finalización
Fecha 15,Atlético Bucaramanga,1 : 1,Santa Fe,Alfonso López,2023,Finalización
Fecha 15,Atlético Nacional,3 : 0,Envigado F. C.,Atanasio Girardot,2023,Finalización
Fecha 15,Águilas Doradas,3 : 0,Deportivo Pasto,Alberto Grisales,2023,Finalización
Fecha 15,Deportivo Pereira,2 : 4,América de Cali,Hernán Ramírez Villegas,2023,Finalización
Fecha 15,Once Caldas,2 : 2,Independiente Medellín,Palogrande,2023,Finalización
Fecha 15,Deportivo Cali,1 : 0,Alianza Petrolera,Deportivo Cali,2023,Finalización
Fecha 15,Atlético Huila,1 : 1,La Equidad,Guillermo Plazas Alcid,2023,Finalización
Fecha 15,Millonarios,1 : 1,Unión Magdalena,Nemesio Camacho El Campín,2023,Finalización
Fecha 16,Jaguares,0 : 1,Deportes Tolima,Jaraguay,2023,Finalización
Fecha 16,Junior,3 : 2,Deportivo Cali,Metropolitano Roberto Meléndez,2023,Finalización
Fecha 16,Envigado F. C.,2 : 3,Deportivo Pereira,Polideportivo Sur,2023,Finalización
Fecha 16,Unión Magdalena,2 : 1,Atlético Nacional,Sierra Nevada,2023,Finalización
Fecha 16,Santa Fe,0 : 5,Águilas Doradas,Nemesio Camacho El Campín,2023,Finalización
Fecha 16,La Equidad,1 : 0,Deportivo Pasto,8 de octubre,2023,Finalización
Fecha 16,Independiente Medellín,2 : 0,Atlético Huila,Atanasio Girardot,2023,Finalización
Fecha 16,Boyacá Chicó,2 : 1,Once Caldas,La Independencia,2023,Finalización
Fecha 16,Alianza Petrolera,1 : 0,Atlético Bucaramanga,Daniel Villa Zapata,2023,Finalización
Fecha 16,América de Cali,1 : 0,Millonarios,Olímpico Pascual Guerrero,2023,Finalización
Fecha 17,Deportivo Pasto,3 : 1,Unión Magdalena,Departamental Libertad,2023,Finalización
Fecha 17,Once Caldas,0 : 0,Jaguares,Palogrande,2023,Finalización
Fecha 17,Deportivo Pereira,1 : 0,La Equidad,Hernán Ramírez Villegas,2023,Finalización
Fecha 17,Atlético Nacional,1 : 2,Independiente Medellín,Atanasio Girardot,2023,Finalización
Fecha 17,Millonarios,1 : 0,Junior,Nemesio Camacho El Campín,2023,Finalización
Fecha 17,Águilas Doradas,3 : 0,Alianza Petrolera,Alberto Grisales,2023,Finalización
Fecha 17,Deportivo Cali,0 : 0,América de Cali,Deportivo Cali,2023,Finalización
Fecha 17,Deportes Tolima,1 : 0,Santa Fe,Manuel Murillo Toro,2023,Finalización
Fecha 17,Atlético Huila,3 : 3,Envigado F. C.,Guillermo Plazas Alcid,2023,Finalización
Fecha 17,Atlético Bucaramanga,1 : 0,Boyacá Chicó,Alfonso López,2023,Finalización
Fecha 18,Envigado F. C.,3 : 0,Deportivo Cali,Polideportivo Sur,2023,Finalización
Fecha 18,Jaguares,1 : 0,Deportivo Pasto,Jaraguay,2023,Finalización
Fecha 18,La Equidad,1 : 1,Águilas Doradas,Metropolitano de Techo,2023,Finalización
Fecha 18,Santa Fe,2 : 3,Millonarios,Nemesio Camacho El Campín,2023,Finalización
Fecha 18,Unión Magdalena,1 : 2,Atlético Bucaramanga,Sierra Nevada,2023,Finalización
Fecha 18,Junior,1 : 0,Once Caldas,Metropolitano Roberto Meléndez,2023,Finalización
Fecha 18,Boyacá Chicó,1 : 3,Atlético Nacional,La Independencia,2023,Finalización
Fecha 18,Independiente Medellín,1 : 0,Deportivo Pereira,Atanasio Girardot,2023,Finalización
Fecha 18,Alianza Petrolera,0 : 1,Deportes Tolima,Daniel Villa Zapata,2023,Finalización
Fecha 18,América de Cali,1 : 0,Atlético Huila,Olímpico Pascual Guerrero,2023,Finalización
Fecha 19,Águilas Doradas,3 : 1,Envigado F. C.,Alberto Grisales,2023,Finalización
Fecha 19,Deportivo Cali,2 : 0,Jaguares,Deportivo Cali,2023,Finalización
Fecha 19,Atlético Bucaramanga,2 : 3,La Equidad,Alfonso López,2023,Finalización
Fecha 19,Deportivo Pereira,0 : 2,Junior,Hernán Ramírez Villegas,2023,Finalización
Fecha 19,Millonarios,1 : 1,Boyacá Chicó,Nemesio Camacho El Campín,2023,Finalización
Fecha 19,Deportivo Pasto,0 : 0,Independiente Medellín,Departamental Libertad,2023,Finalización
Fecha 19,Once Caldas,1 : 1,América de Cali,Palogrande,2023,Finalización
Fecha 19,Atlético Nacional,2 : 0,Alianza Petrolera,Atanasio Girardot,2023,Finalización
Fecha 19,Atlético Huila,2 : 2,Santa Fe,Guillermo Plazas Alcid,2023,Finalización
Fecha 19,Deportes Tolima,2 : 1,Unión Magdalena,Manuel Murillo Toro,2023,Finalización
Fecha 20,Boyacá Chicó,1 : 1,Deportivo Cali,La Independencia,2023,Finalización
Fecha 20,Junior,2 : 0,Atlético Huila,Metropolitano Roberto Meléndez,2023,Finalización
Fecha 20,Alianza Petrolera,2 : 1,Deportivo Pereira,Daniel Villa Zapata,2023,Finalización
Fecha 20,Santa Fe,0 : 1,Once Caldas,Nemesio Camacho El Campín,2023,Finalización
Fecha 20,Envigado F. C.,1 : 1,Deportivo Pasto,Metropolitano Ciudad de Itagüí,2023,Finalización
Fecha 20,Atlético Nacional,2 : 3,Deportes Tolima,Atanasio Girardot,2023,Finalización
Fecha 20,América de Cali,1 : 2,Atlético Bucaramanga,Olímpico Pascual Guerrero,2023,Finalización
Fecha 20,La Equidad,2 : 1,Millonarios,Metropolitano de Techo,2023,Finalización
Fecha 20,Jaguares,0 : 1,Águilas Doradas,Jaraguay,2023,Finalización
Fecha 20,Unión Magdalena,0 : 4,Independiente Medellín,Sierra Nevada,2023,Finalización
