Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,22 de julio de 2007,Once Caldas,1  -  0,Cúcuta Deportivo,2007,Finalización
Fecha 1,22 de julio de 2007,Atlético Nacional,0  -  0,La Equidad,2007,Finalización
Fecha 1,22 de julio de 2007,Junior,2  -  1,Santa Fe,2007,Finalización
Fecha 1,22 de julio de 2007,América de Cali,1  -  2,Boyacá Chicó,2007,Finalización
Fecha 1,22 de julio de 2007,Deportivo Pasto,1  -  0,Independiente Medellín,2007,Finalización
Fecha 1,22 de julio de 2007,Atlético Bucaramanga,0  -  1,Deportivo Pereira,2007,Finalización
Fecha 1,22 de julio de 2007,Millonarios,1  -  0,Real Cartagena,2007,Finalización
Fecha 1,22 de julio de 2007,Deportes Tolima,3  -  0,Atlético Huila,2007,Finalización
Fecha 1,22 de julio de 2007,Deportes Quindío,1  -  1,Deportivo Cali,2007,Finalización
Fecha 2,29 de julio de 2007,Santa Fe,0  -  2,Atlético Nacional,2007,Finalización
Fecha 2,29 de julio de 2007,Atlético Huila,1  -  0,Junior,2007,Finalización
Fecha 2,29 de julio de 2007,La Equidad,1  -  0,América de Cali,2007,Finalización
Fecha 2,29 de julio de 2007,Boyacá Chicó,1  -  1,Atlético Bucaramanga,2007,Finalización
Fecha 2,29 de julio de 2007,Deportivo Pereira,0  -  3,Once Caldas,2007,Finalización
Fecha 2,29 de julio de 2007,Cúcuta Deportivo,2  -  0,Deportes Quindío,2007,Finalización
Fecha 2,29 de julio de 2007,Real Cartagena,1  -  0,Deportes Tolima,2007,Finalización
Fecha 2,29 de julio de 2007,Deportivo Cali,4  -  4,Deportivo Pasto,2007,Finalización
Fecha 2,29 de julio de 2007,Independiente Medellín,2  -  1,Millonarios,2007,Finalización
Fecha 3,5 de agosto de 2007,América de Cali,3  -  2,Santa Fe,2007,Finalización
Fecha 3,5 de agosto de 2007,Deportes Quindío,1  -  2,Once Caldas,2007,Finalización
Fecha 3,5 de agosto de 2007,Atlético Bucaramanga,1  -  2,La Equidad,2007,Finalización
Fecha 3,5 de agosto de 2007,Deportivo Pereira,0  -  1,Boyacá Chicó,2007,Finalización
Fecha 3,5 de agosto de 2007,Junior,4  -  2,Real Cartagena,2007,Finalización
Fecha 3,5 de agosto de 2007,Deportes Tolima,4  -  2,Independiente Medellín,2007,Finalización
Fecha 3,5 de agosto de 2007,Deportivo Pasto,3  -  0,Cúcuta Deportivo,2007,Finalización
Fecha 3,5 de agosto de 2007,Atlético Nacional,3  -  2,Atlético Huila,2007,Finalización
