Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,2 de febrero,Millonarios,1  -  2,Medellín,2008,Apertura
Fecha 1,2 de febrero,Atlético Nacional,0  -  1,Santa Fe,2008,Apertura
Fecha 1,3 de febrero,América de Cali,1  -  1,Huila,2008,Apertura
Fecha 1,3 de febrero,Pereira,0  -  2,Envigado,2008,Apertura
Fecha 1,3 de febrero,Cúcuta,0  -  1,Bucaramanga,2008,Apertura
Fecha 1,3 de febrero,Junior,2  -  1,Once Caldas,2008,Apertura
Fecha 1,3 de febrero,Pasto,0  -  1,Boyacá Chicó,2008,Apertura
Fecha 1,3 de febrero,Tolima,2  -  0,Deportivo Cali,2008,Apertura
Fecha 2,9 de febrero,Envigado,2  -  1,Cúcuta,2008,Apertura
Fecha 2,9 de febrero,Santa Fe,2  -  1,América de Cali,2008,Apertura
Fecha 2,9 de febrero,Medellín,2  -  0,Pereira,2008,Apertura
Fecha 2,10 de febrero,Boyacá Chicó,1  -  1,Quindío,2008,Apertura
Fecha 2,10 de febrero,Huila,0  -  0,Pasto,2008,Apertura
Fecha 2,10 de febrero,Bucaramanga,1  -  0,Junior,2008,Apertura
Fecha 2,10 de febrero,La Equidad,2  -  0,Tolima,2008,Apertura
Fecha 2,10 de febrero,Once Caldas,1  -  0,Atlético Nacional,2008,Apertura
Fecha 3,16 de febrero,América de Cali,3  -  1,Once Caldas,2008,Apertura
Fecha 3,16 de febrero,Junior,2  -  2,Envigado,2008,Apertura
Fecha 3,17 de febrero,Pasto,1  -  2,Santa Fe,2008,Apertura
Fecha 3,17 de febrero,Tolima,0  -  1,Quindío,2008,Apertura
Fecha 3,17 de febrero,Pereira,1  -  3,Deportivo Cali,2008,Apertura
Fecha 3,17 de febrero,Cúcuta,0  -  1,Medellín,2008,Apertura
Fecha 3,17 de febrero,Boyacá Chicó,2  -  0,Huila,2008,Apertura
Fecha 3,17 de febrero,Millonarios,2  -  1,La Equidad,2008,Apertura
Fecha 4,20 de febrero,Quindío,1  -  1,Huila,2008,Apertura
Fecha 4,20 de febrero,Santa Fe,2  -  2,Boyacá Chicó,2008,Apertura
Fecha 4,20 de febrero,Once Caldas,3  -  1,Pasto,2008,Apertura
Fecha 4,20 de febrero,Bucaramanga,3  -  0,América de Cali,2008,Apertura
Fecha 4,20 de febrero,Tolima,1  -  1,Millonarios,2008,Apertura
Fecha 4,20 de febrero,Medellín,2  -  0,Junior,2008,Apertura
Fecha 4,20 de febrero,Deportivo Cali,0  -  1,Cúcuta,2008,Apertura
Fecha 4,20 de febrero,La Equidad,2  -  3,Pereira,2008,Apertura
Fecha 4,21 de febrero,Envigado,1  -  0,Atlético Nacional,2008,Apertura
Fecha 5,23 de febrero,América de Cali,3  -  0,Envigado,2008,Apertura
Fecha 5,23 de febrero,Atlético Nacional,1  -  0,Medellín,2008,Apertura
Fecha 5,24 de febrero,Junior,1  -  2,Deportivo Cali,2008,Apertura
Fecha 5,24 de febrero,Millonarios,1  -  1,Quindío,2008,Apertura
Fecha 5,24 de febrero,Pereira,0  -  0,Tolima,2008,Apertura
Fecha 5,24 de febrero,Cúcuta,0  -  1,La Equidad,2008,Apertura
Fecha 5,24 de febrero,Pasto,1  -  0,Bucaramanga,2008,Apertura
Fecha 5,24 de febrero,Boyacá Chicó,1  -  0,Once Caldas,2008,Apertura
Fecha 5,24 de febrero,Huila,2  -  3,Santa Fe,2008,Apertura
Fecha 6,29 de febrero,Medellín,1  -  3,América de Cali,2008,Apertura
Fecha 6,1 de marzo,Deportivo Cali,2  -  1,Atlético Nacional,2008,Apertura
Fecha 6,1 de marzo,Bucaramanga,1  -  0,Boyacá Chicó,2008,Apertura
Fecha 6,2 de marzo,Envigado,0  -  1,Pasto,2008,Apertura
Fecha 6,2 de marzo,Once Caldas,1  -  1,Huila,2008,Apertura
Fecha 6,2 de marzo,Millonarios,3  -  0,Pereira,2008,Apertura
Fecha 6,2 de marzo,La Equidad,2  -  0,Junior,2008,Apertura
Fecha 6,2 de marzo,Tolima,0  -  0,Cúcuta,2008,Apertura
Fecha 6,2 de marzo,Quindío,2  -  1,Santa Fe,2008,Apertura
Fecha 7,7 de marzo,Santa Fe,0  -  1,Once Caldas,2008,Apertura
Fecha 7,8 de marzo,Cúcuta,2  -  1,Millonarios,2008,Apertura
Fecha 7,8 de marzo,América de Cali,0  -  1,Deportivo Cali,2008,Apertura
Fecha 7,9 de marzo,Pasto,1  -  1,Medellín,2008,Apertura
Fecha 7,9 de marzo,Atlético Nacional,0  -  1,La Equidad,2008,Apertura
Fecha 7,9 de marzo,Pereira,2  -  0,Quindío,2008,Apertura
Fecha 7,9 de marzo,Junior,1  -  3,Tolima,2008,Apertura
Fecha 7,9 de marzo,Huila,4  -  2,Bucaramanga,2008,Apertura
Fecha 7,9 de marzo,Boyacá Chicó,1  -  1,Envigado,2008,Apertura
Fecha 8,14 de marzo,Deportivo Cali,1  -  1,Pasto,2008,Apertura
Fecha 8,15 de marzo,Tolima,1  -  2,Atlético Nacional,2008,Apertura
Fecha 8,15 de marzo,Medellín,0  -  0,Boyacá Chicó,2008,Apertura
Fecha 8,16 de marzo,La Equidad,4  -  0,América de Cali,2008,Apertura
Fecha 8,16 de marzo,Quindío,1  -  2,Once Caldas,2008,Apertura
Fecha 8,16 de marzo,Envigado,1  -  1,Huila,2008,Apertura
Fecha 8,16 de marzo,Millonarios,3  -  1,Junior,2008,Apertura
Fecha 8,16 de marzo,Pereira,0  -  2,Cúcuta,2008,Apertura
Fecha 8,16 de marzo,Bucaramanga,1  -  2,Santa Fe,2008,Apertura
Fecha 9,22 de marzo,Quindío,4  -  1,Boyacá Chicó,2008,Apertura
Fecha 9,22 de marzo,Santa Fe,1  -  1,Millonarios,2008,Apertura
Fecha 9,22 de marzo,Deportivo Cali,0  -  4,América de Cali,2008,Apertura
Fecha 9,23 de marzo,Bucaramanga,1  -  1,Cúcuta,2008,Apertura
Fecha 9,23 de marzo,Once Caldas,1  -  1,Pereira,2008,Apertura
Fecha 9,23 de marzo,Huila,3  -  2,Tolima,2008,Apertura
Fecha 9,23 de marzo,Envigado,1  -  0,Junior,2008,Apertura
Fecha 9,23 de marzo,La Equidad,1  -  1,Pasto,2008,Apertura
Fecha 9,23 de marzo,Medellín,2  -  0,Atlético Nacional,2008,Apertura
Fecha 10,29 de marzo,Huila,1  -  1,Medellín,2008,Apertura
Fecha 10,29 de marzo,Atlético Nacional,1  -  1,Millonarios,2008,Apertura
Fecha 10,29 de marzo,Santa Fe,3  -  0,Envigado,2008,Apertura
Fecha 10,30 de marzo,Once Caldas,2  -  0,Bucaramanga,2008,Apertura
Fecha 10,30 de marzo,Cúcuta,4  -  3,Quindío,2008,Apertura
Fecha 10,30 de marzo,Junior,1  -  0,Pereira,2008,Apertura
Fecha 10,30 de marzo,América de Cali,3  -  1,Tolima,2008,Apertura
Fecha 10,30 de marzo,Pasto,1  -  2,La Equidad,2008,Apertura
Fecha 10,30 de marzo,Boyacá Chicó,0  -  0,Deportivo Cali,2008,Apertura
Fecha 11,2 de abril,La Equidad,2  -  1,Boyacá Chicó,2008,Apertura
Fecha 11,2 de abril,Medellín,2  -  0,Santa Fe,2008,Apertura
Fecha 11,2 de abril,Envigado,2  -  0,Once Caldas,2008,Apertura
Fecha 11,2 de abril,Millonarios,3  -  1,América de Cali,2008,Apertura
Fecha 11,3 de abril,Quindío,2  -  0,Bucaramanga,2008,Apertura
Fecha 11,3 de abril,Deportivo Cali,2  -  1,Huila,2008,Apertura
Fecha 11,3 de abril,Tolima,1  -  2,Pasto,2008,Apertura
Fecha 11,3 de abril,Pereira,1  -  0,Atlético Nacional,2008,Apertura
Fecha 11,3 de abril,Cúcuta,0  -  0,Junior,2008,Apertura
Fecha 12,5 de abril,Huila,1  -  0,La Equidad,2008,Apertura
Fecha 12,5 de abril,Santa Fe,2  -  0,Deportivo Cali,2008,Apertura
Fecha 12,5 de abril,Boyacá Chicó,7  -  2,Tolima,2008,Apertura
Fecha 12,6 de abril,Atlético Nacional,3  -  1,Cúcuta,2008,Apertura
Fecha 12,6 de abril,Junior,2  -  2,Quindío,2008,Apertura
Fecha 12,6 de abril,América de Cali,4  -  1,Pereira,2008,Apertura
Fecha 12,6 de abril,Pasto,2  -  0,Millonarios,2008,Apertura
Fecha 12,6 de abril,Bucaramanga,2  -  1,Envigado,2008,Apertura
Fecha 12,6 de abril,Once Caldas,1  -  1,Medellín,2008,Apertura
Fecha 13,12 de abril,La Equidad,0  -  0,Santa Fe,2008,Apertura
Fecha 13,12 de abril,Deportivo Cali,3  -  0,Once Caldas,2008,Apertura
Fecha 13,12 de abril,Quindío,2  -  2,Envigado,2008,Apertura
Fecha 13,12 de abril,Cúcuta,1  -  1,América de Cali,2008,Apertura
Fecha 13,13 de abril,Medellín,5  -  0,Bucaramanga,2008,Apertura
Fecha 13,13 de abril,Tolima,2  -  1,Huila,2008,Apertura
Fecha 13,13 de abril,Pereira,5  -  2,Pasto,2008,Apertura
Fecha 13,13 de abril,Millonarios,0  -  4,Boyacá Chicó,2008,Apertura
Fecha 13,13 de abril,Junior,3  -  0,Atlético Nacional,2008,Apertura
Fecha 14,18 de abril,Envigado,1  -  0,Medellín,2008,Apertura
Fecha 14,19 de abril,América de Cali,1  -  2,Junior,2008,Apertura
Fecha 14,19 de abril,Atlético Nacional,1  -  0,Quindío,2008,Apertura
Fecha 14,20 de abril,Huila,3  -  3,Millonarios,2008,Apertura
Fecha 14,20 de abril,Pasto,1  -  0,Cúcuta,2008,Apertura
Fecha 14,20 de abril,Boyacá Chicó,3  -  0,Pereira,2008,Apertura
Fecha 14,20 de abril,Santa Fe,2  -  0,Tolima,2008,Apertura
Fecha 14,20 de abril,Bucaramanga,4  -  1,Deportivo Cali,2008,Apertura
Fecha 14,20 de abril,Once Caldas,1  -  1,La Equidad,2008,Apertura
Fecha 15,25 de abril,Quindío,1  -  0,Medellín,2008,Apertura
Fecha 15,26 de abril,Millonarios,0  -  2,Santa Fe,2008,Apertura
Fecha 15,26 de abril,Cúcuta,3  -  0,Boyacá Chicó,2008,Apertura
Fecha 15,27 de abril,Atlético Nacional,3  -  2,América de Cali,2008,Apertura
Fecha 15,27 de abril,La Equidad,1  -  0,Bucaramanga,2008,Apertura
Fecha 15,27 de abril,Tolima,4  -  3,Once Caldas,2008,Apertura
Fecha 15,27 de abril,Pereira,3  -  3,Huila,2008,Apertura
Fecha 15,27 de abril,Junior,2  -  0,Pasto,2008,Apertura
Fecha 15,27 de abril,Deportivo Cali,2  -  1,Envigado,2008,Apertura
Fecha 16,3 de mayo,América de Cali,3  -  1,Quindío,2008,Apertura
Fecha 16,3 de mayo,Pasto,0  -  1,Atlético Nacional,2008,Apertura
Fecha 16,3 de mayo,Boyacá Chicó,2  -  1,Junior,2008,Apertura
Fecha 16,4 de mayo,Huila,1  -  0,Cúcuta,2008,Apertura
Fecha 16,4 de mayo,Santa Fe,1  -  1,Pereira,2008,Apertura
Fecha 16,4 de mayo,Bucaramanga,1  -  0,Tolima,2008,Apertura
Fecha 16,4 de mayo,Envigado,0  -  1,La Equidad,2008,Apertura
Fecha 16,4 de mayo,Medellín,1  -  1,Deportivo Cali,2008,Apertura
Fecha 16,4 de mayo,Once Caldas,0  -  2,Millonarios,2008,Apertura
Fecha 17,10 de mayo,Quindío,0  -  0,Deportivo Cali,2008,Apertura
Fecha 17,10 de mayo,La Equidad,2  -  1,Medellín,2008,Apertura
Fecha 17,10 de mayo,América de Cali,2  -  0,Pasto,2008,Apertura
Fecha 17,10 de mayo,Millonarios,1  -  0,Bucaramanga,2008,Apertura
Fecha 17,10 de mayo,Pereira,3  -  1,Once Caldas,2008,Apertura
Fecha 17,10 de mayo,Cúcuta,2  -  0,Santa Fe,2008,Apertura
Fecha 17,10 de mayo,Junior,1  -  0,Huila,2008,Apertura
Fecha 17,10 de mayo,Atlético Nacional,0  -  1,Boyacá Chicó,2008,Apertura
Fecha 17,10 de mayo,Tolima,1  -  2,Envigado,2008,Apertura
Fecha 18,18 de mayo,Pasto,0  -  2,Quindío,2008,Apertura
Fecha 18,18 de mayo,Boyacá Chicó,3  -  2,América de Cali,2008,Apertura
Fecha 18,18 de mayo,Huila,1  -  0,Atlético Nacional,2008,Apertura
Fecha 18,18 de mayo,Santa Fe,1  -  2,Junior,2008,Apertura
Fecha 18,18 de mayo,Once Caldas,1  -  2,Cúcuta,2008,Apertura
Fecha 18,18 de mayo,Envigado,1  -  0,Millonarios,2008,Apertura
Fecha 18,18 de mayo,Bucaramanga,3  -  0,Pereira,2008,Apertura
Fecha 18,18 de mayo,Medellín,4  -  1,Tolima,2008,Apertura
Fecha 18,18 de mayo,Deportivo Cali,1  -  1,La Equidad,2008,Apertura
