Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,12 de febrero,Envigado,4  -  1,Millonarios,2005,Apertura
Fecha 1,13 de febrero,Deportivo Cali,0  -  1,Medellín,2005,Apertura
Fecha 1,13 de febrero,Atlético Nacional,2  -  1,América de Cali,2005,Apertura
Fecha 1,13 de febrero,Tolima,1  -  1,Pasto,2005,Apertura
Fecha 1,13 de febrero,Santa Fe,3  -  1,Quindío,2005,Apertura
Fecha 1,13 de febrero,Once Caldas,1  -  0,Cartagena,2005,Apertura
Fecha 1,13 de febrero,Boyacá Chicó,1  -  0,Huila,2005,Apertura
Fecha 1,13 de febrero,Bucaramanga,0  -  1[5]​,Pereira,2005,Apertura
Fecha 1,13 de febrero,Magdalena,1  -  0[6]​,Junior,2005,Apertura
Fecha 2,16 de febrero,Huila,0  -  0,Tolima,2005,Apertura
Fecha 2,16 de febrero,Millonarios,2  -  2,Boyacá Chicó,2005,Apertura
Fecha 2,16 de febrero,Pereira,1  -  1,Envigado,2005,Apertura
Fecha 2,16 de febrero,Medellín,0  -  1,Bucaramanga,2005,Apertura
Fecha 2,16 de febrero,Cartagena,1  -  3,Atlético Nacional,2005,Apertura
Fecha 2,16 de febrero,Quindío,0  -  1,Once Caldas,2005,Apertura
Fecha 2,16 de febrero,Pasto,1  -  1,Santa Fe,2005,Apertura
Fecha 2,16 de febrero,Junior,3  -  3[5]​,Deportivo Cali,2005,Apertura
Fecha 2,16 de febrero,América de Cali,2  -  1[7]​,Magdalena,2005,Apertura
Fecha 3,19 de febrero,Atlético Nacional,3  -  0,Quindío,2005,Apertura
Fecha 3,20 de febrero,Santa Fe,0  -  2,Tolima,2005,Apertura
Fecha 3,20 de febrero,Magdalena,0  -  1,Cartagena,2005,Apertura
Fecha 3,20 de febrero,Bucaramanga,0  -  2,Junior,2005,Apertura
Fecha 3,20 de febrero,Envigado,3  -  3,Medellín,2005,Apertura
Fecha 3,20 de febrero,Boyacá Chicó,2  -  1,Pereira,2005,Apertura
Fecha 3,20 de febrero,Huila,1  -  1,Millonarios,2005,Apertura
Fecha 3,20 de febrero,Once Caldas,1  -  1[8]​,Pasto,2005,Apertura
Fecha 3,20 de febrero,América de Cali,0  -  0[8]​,Deportivo Cali,2005,Apertura
Fecha 4,26 de febrero,Santa Fe,1  -  0,Once Caldas,2005,Apertura
Fecha 4,27 de febrero,Tolima,3  -  3,Millonarios,2005,Apertura
Fecha 4,27 de febrero,Pereira,0  -  0,Huila,2005,Apertura
Fecha 4,27 de febrero,Junior,3  -  2,Envigado,2005,Apertura
Fecha 4,27 de febrero,América de Cali,1  -  2,Bucaramanga,2005,Apertura
Fecha 4,27 de febrero,Cartagena,0  -  1,Deportivo Cali,2005,Apertura
Fecha 4,27 de febrero,Quindío,2  -  0,Magdalena,2005,Apertura
Fecha 4,27 de febrero,Pasto,1  -  1,Atlético Nacional,2005,Apertura
Fecha 4,27 de febrero,Medellín,1  -  0[9]​,Boyacá Chicó,2005,Apertura
Fecha 5,2 de marzo,Atlético Nacional,1  -  1,Santa Fe,2005,Apertura
Fecha 5,2 de marzo,Magdalena,2  -  0,Pasto,2005,Apertura
Fecha 5,2 de marzo,Deportivo Cali,3  -  0,Quindío,2005,Apertura
Fecha 5,2 de marzo,Bucaramanga,0  -  1,Cartagena,2005,Apertura
Fecha 5,2 de marzo,Envigado,1  -  1,América de Cali,2005,Apertura
Fecha 5,2 de marzo,Huila,1  -  0,Medellín,2005,Apertura
Fecha 5,2 de marzo,Millonarios,3  -  2,Pereira,2005,Apertura
Fecha 5,2 de marzo,Once Caldas,1  -  2[6]​,Tolima,2005,Apertura
Fecha 5,2 de marzo,Boyacá Chicó,2  -  0[10]​,Junior,2005,Apertura
Fecha 6,5 de marzo,Medellín,2  -  1,Millonarios,2005,Apertura
Fecha 6,6 de marzo,Tolima,2  -  0,Pereira,2005,Apertura
Fecha 6,6 de marzo,Junior,1  -  0,Huila,2005,Apertura
Fecha 6,6 de marzo,América de Cali,1  -  1,Boyacá Chicó,2005,Apertura
Fecha 6,6 de marzo,Cartagena,0  -  1,Envigado,2005,Apertura
Fecha 6,6 de marzo,Quindío,2  -  1,Bucaramanga,2005,Apertura
Fecha 6,6 de marzo,Pasto,1  -  0,Deportivo Cali,2005,Apertura
Fecha 6,6 de marzo,Santa Fe,0  -  0,Magdalena,2005,Apertura
Fecha 6,6 de marzo,Once Caldas,0  -  2,Atlético Nacional,2005,Apertura
Fecha 7,12 de marzo,Deportivo Cali,1  -  1,Santa Fe,2005,Apertura
Fecha 7,13 de marzo,Atlético Nacional,1  -  3,Tolima,2005,Apertura
Fecha 7,13 de marzo,Magdalena,1  -  1,Once Caldas,2005,Apertura
Fecha 7,13 de marzo,Bucaramanga,2  -  0,Pasto,2005,Apertura
Fecha 7,13 de marzo,Envigado,3  -  0,Quindío,2005,Apertura
Fecha 7,13 de marzo,Boyacá Chicó,1  -  2,Cartagena,2005,Apertura
Fecha 7,13 de marzo,Huila,3  -  0,América de Cali,2005,Apertura
Fecha 7,13 de marzo,Millonarios,0  -  0,Junior,2005,Apertura
Fecha 7,13 de marzo,Pereira,3  -  0,Medellín,2005,Apertura
Fecha 8,15 de marzo,Santa Fe,0  -  0,Bucaramanga,2005,Apertura
Fecha 8,16 de marzo,Tolima,0  -  0,Medellín,2005,Apertura
Fecha 8,16 de marzo,América de Cali,1  -  1,Millonarios,2005,Apertura
Fecha 8,16 de marzo,Cartagena,1  -  1,Huila,2005,Apertura
Fecha 8,16 de marzo,Quindío,1  -  0,Boyacá Chicó,2005,Apertura
Fecha 8,16 de marzo,Pasto,2  -  1,Envigado,2005,Apertura
Fecha 8,16 de marzo,Once Caldas,1  -  1,Deportivo Cali,2005,Apertura
Fecha 8,16 de marzo,Atlético Nacional,2  -  0,Magdalena,2005,Apertura
Fecha 8,16 de marzo,Junior,2  -  0[11]​,Pereira,2005,Apertura
Fecha 9,19 de marzo,Millonarios,0  -  3,Santa Fe,2005,Apertura
Fecha 9,20 de marzo,Pereira,2  -  2,Once Caldas,2005,Apertura
Fecha 9,20 de marzo,Medellín,0  -  4,Atlético Nacional,2005,Apertura
Fecha 9,20 de marzo,Junior,0  -  1,Magdalena,2005,Apertura
Fecha 9,20 de marzo,Deportivo Cali,2  -  0,América de Cali,2005,Apertura
Fecha 9,20 de marzo,Cartagena,1  -  0,Bucaramanga,2005,Apertura
Fecha 9,20 de marzo,Quindío,1  -  4,Envigado,2005,Apertura
Fecha 9,20 de marzo,Pasto,1  -  0,Boyacá Chicó,2005,Apertura
Fecha 9,20 de marzo,Tolima,1  -  2,Huila,2005,Apertura
Fecha 10,2 de abril,Deportivo Cali,3  -  3,Atlético Nacional,2005,Apertura
Fecha 10,2 de abril,Envigado,2  -  1,Santa Fe,2005,Apertura
Fecha 10,3 de abril,Magdalena,0  -  0,Tolima,2005,Apertura
Fecha 10,3 de abril,Bucaramanga,1  -  1,Once Caldas,2005,Apertura
Fecha 10,3 de abril,Boyacá Chicó,3  -  4,Pasto,2005,Apertura
Fecha 10,3 de abril,Huila,2  -  0,Quindío,2005,Apertura
Fecha 10,3 de abril,Millonarios,2  -  1,Cartagena,2005,Apertura
Fecha 10,3 de abril,Pereira,1  -  2,América de Cali,2005,Apertura
Fecha 10,3 de abril,Medellín,1  -  0,Junior,2005,Apertura
Fecha 11,6 de abril,Tolima,1  -  1[12]​,Junior,2005,Apertura
Fecha 11,6 de abril,Quindío,3  -  3,Millonarios,2005,Apertura
Fecha 11,6 de abril,Pasto,3  -  1,Huila,2005,Apertura
Fecha 11,6 de abril,Santa Fe,1  -  0,Boyacá Chicó,2005,Apertura
Fecha 11,6 de abril,Once Caldas,2  -  2,Envigado,2005,Apertura
Fecha 11,6 de abril,Atlético Nacional,3  -  2,Bucaramanga,2005,Apertura
Fecha 11,6 de abril,Magdalena,2  -  0,Deportivo Cali,2005,Apertura
Fecha 11,6 de abril,América de Cali,3  -  2,Medellín,2005,Apertura
Fecha 11,6 de abril,Cartagena,1  -  1,Pereira,2005,Apertura
Fecha 12,9 de abril,Envigado,2  -  4,Atlético Nacional,2005,Apertura
Fecha 12,10 de abril,Deportivo Cali,1  -  2,Tolima,2005,Apertura
Fecha 12,10 de abril,Bucaramanga,2  -  1,Magdalena,2005,Apertura
