Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Fortaleza,1  :  2,Jaguares,Metropolitano de Techo,2016,Apertura
Fecha 1,Once Caldas,0  :  0,Deportivo Pasto,Palogrande,2016,Apertura
Fecha 1,Deportes Tolima,0  :  3,Rionegro Águilas,Manuel Murillo Toro,2016,Apertura
Fecha 1,Cortuluá,4  :  1,Deportivo Cali,Doce de Octubre,2016,Apertura
Fecha 1,Boyacá Chicó,0  :  1,Santa Fe,La Independencia,2016,Apertura
Fecha 1,Junior,1  :  0,Atlético Huila,Metropolitano Roberto Meléndez,2016,Apertura
Fecha 1,Atlético Bucaramanga,2  :  2,Independiente Medellín,Alfonso López,2016,Apertura
Fecha 1,Atlético Nacional,3  :  1,Alianza Petrolera,Atanasio Girardot,2016,Apertura
Fecha 1,Envigado F. C.,0  :  0,La Equidad,Polideportivo Sur,2016,Apertura
Fecha 1,Millonarios,3  :  0,Patriotas,Nemesio Camacho El Campín,2016,Apertura
Fecha 2,La Equidad,0  :  0,Cortuluá,Metropolitano de Techo,2016,Apertura
Fecha 2,Atlético Huila,1  :  0,Envigado F. C.,Guillermo Plazas Alcid,2016,Apertura
Fecha 2,Independiente Medellín,0  :  1,Junior,Atanasio Girardot,2016,Apertura
Fecha 2,Patriotas,3  :  3,Atlético Bucaramanga,La Independencia,2016,Apertura
Fecha 2,Alianza Petrolera,1  :  3,Once Caldas,Daniel Villa Zapata,2016,Apertura
Fecha 2,Jaguares,0  :  3,Atlético Nacional,Jaraguay,2016,Apertura
Fecha 2,Deportivo Cali,5  :  1,Deportes Tolima,Deportivo Cali,2016,Apertura
Fecha 2,Deportivo Pasto,2  :  0,Boyacá Chicó,Departamental Libertad,2016,Apertura
Fecha 2,Santa Fe,0  :  0,Millonarios,Nemesio Camacho El Campín,2016,Apertura
Fecha 2,Rionegro Águilas,3  :  2,Fortaleza,Alberto Grisales,2016,Apertura
Fecha 3,Fortaleza,2  :  1,Deportes Tolima,Metropolitano de Techo,2016,Apertura
Fecha 3,Cortuluá,0  :  3,Atlético Huila,Doce de Octubre,2016,Apertura
