Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Alianza Petrolera,2  :  0,Uniautónoma,Daniel Villa Zapata,2015,Finalización
Fecha 1,Envigado F. C.,1  :  2,Cortuluá,Polideportivo Sur,2015,Finalización
Fecha 1,Junior,2  :  0,Cúcuta Deportivo,Metropolitano Roberto Meléndez,2015,Finalización
Fecha 1,Independiente Medellín,0  :  0,Once Caldas,Atanasio Girardot,2015,Finalización
Fecha 1,Atlético Huila,0  :  2,Patriotas,Centenario,2015,Finalización
Fecha 1,Águilas Doradas,0  :  2,Atlético Nacional,Atanasio Girardot,2015,Finalización
Fecha 1,Santa Fe,4  :  0,La Equidad,Nemesio Camacho El Campín,2015,Finalización
Fecha 1,Deportivo Pasto,0  :  0,Millonarios,Departamental Libertad,2015,Finalización
Fecha 1,Deportivo Cali,0  :  3[8]​[9]​[10]​[11]​,Jaguares,Deportivo Cali,2015,Finalización
Fecha 1,Boyacá Chicó,0  :  0,Deportes Tolima,La Independencia,2015,Finalización
Fecha 2,La Equidad,1  :  2,Deportivo Cali,Metropolitano de Techo,2015,Finalización
Fecha 2,Uniautónoma,0  :  0,Águilas Doradas,Metropolitano Roberto Meléndez,2015,Finalización
Fecha 2,Atlético Nacional,0  :  0,Independiente Medellín,Atanasio Girardot,2015,Finalización
Fecha 2,Cortuluá,5  :  1,Deportivo Pasto,Doce de Octubre,2015,Finalización
Fecha 2,Deportes Tolima,0  :  2,Envigado F. C.,Metropolitano de Techo,2015,Finalización
Fecha 2,Jaguares,1  :  1,Atlético Huila,Municipal de Montería,2015,Finalización
Fecha 2,Once Caldas,1  :  1,Junior,Palogrande,2015,Finalización
Fecha 2,Alianza Petrolera,1  :  0,Boyacá Chicó,Daniel Villa Zapata,2015,Finalización
Fecha 2,Santa Fe,5  :  0,Cúcuta Deportivo,El Campín,2015,Finalización
Fecha 2,Patriotas,2  :  3,Millonarios,Metropolitano de Techo,2015,Finalización
Fecha 3,Deportivo Cali,5  :  1,Uniautónoma,Deportivo Cali,2015,Finalización
Fecha 3,Envigado F. C.,0  :  2,La Equidad,Polideportivo Sur,2015,Finalización
Fecha 3,Deportivo Pasto,2  :  0,Jaguares,Departamental Libertad,2015,Finalización
Fecha 3,Boyacá Chicó,0  :  1,Santa Fe,Metropolitano de Techo,2015,Finalización
Fecha 3,Atlético Huila,0  :  2,Atlético Nacional,Centenario,2015,Finalización
Fecha 3,Independiente Medellín,1  :  0,Deportes Tolima,Atanasio Girardot,2015,Finalización
Fecha 3,Águilas Doradas,0  :  0,Alianza Petrolera,Alberto grisales,2015,Finalización
Fecha 3,Millonarios,0  :  0,Once Caldas,Nemesio Camacho El Campín,2015,Finalización
Fecha 3,Junior,1  :  2,Cortuluá,Metropolitano Roberto Meléndez,2015,Finalización
Fecha 3,Cúcuta Deportivo,1  :  0,Patriotas,General Santander,2015,Finalización
Fecha 4,Cúcuta Deportivo,1  :  1,Millonarios,General Santander,2015,Finalización
Fecha 4,Atlético Huila,1  :  0,Cortuluá,Centenario,2015,Finalización
Fecha 4,Águilas Doradas,2  :  1,La Equidad,Alberto Grisales,2015,Finalización
Fecha 4,Uniautónoma,0  :  1,Boyacá Chicó,Metropolitano Roberto Meléndez,2015,Finalización
Fecha 4,Santa Fe,1  :  1,Alianza Petrolera,Nemesio Camacho El Campín,2015,Finalización
Fecha 4,Deportivo Pasto,2  :  1,Once Caldas,Departamental Libertad,2015,Finalización
Fecha 4,Jaguares,1  :  2,Independiente Medellín,Municipal de Montería,2015,Finalización
Fecha 4,Atlético Nacional,1  :  0,Envigado F. C.,Atanasio Girardot,2015,Finalización
Fecha 4,Deportivo Cali,1  :  1,Deportes Tolima,Deportivo Cali,2015,Finalización
Fecha 4,Patriotas,1  :  0,Junior,Metropolitano de Techo,2015,Finalización
Fecha 5,Atlético Nacional,4  :  0,Deportivo Pasto,Atanasio Girardot,2015,Finalización
Fecha 5,La Equidad,2  :  0,Independiente Medellín,Metropolitano de Techo,2015,Finalización
Fecha 5,Jaguares,0  :  1,Junior,Municipal de Montería,2015,Finalización
Fecha 5,Deportes Tolima,2  :  1,Atlético Huila,Metropolitano de Techo,2015,Finalización
Fecha 5,Santa Fe,0  :  0,Águilas Doradas,Nemesio Camacho El Campín,2015,Finalización
Fecha 5,Uniautónoma,0  :  0,Envigado F. C.,Metropolitano Roberto Meléndez,2015,Finalización
Fecha 5,Cortuluá,2  :  0,Millonarios,Doce de Octubre,2015,Finalización
Fecha 5,Once Caldas,1  :  3,Patriotas,Palogrande,2015,Finalización
Fecha 5,Alianza Petrolera,3  :  2,Deportivo Cali,Daniel Villa Zapata,2015,Finalización
Fecha 5,Boyacá Chicó,3  :  2,Cúcuta Deportivo,La Independencia,2015,Finalización
Fecha 6,Envigado F. C.,0  :  0,Boyacá Chicó,Polideportivo Sur,2015,Finalización
Fecha 6,Independiente Medellín,1  :  1,Santa Fe,Atanasio Girardot,2015,Finalización
Fecha 6,Atlético Huila,1  :  0,Alianza Petrolera,Centenario,2015,Finalización
Fecha 6,Junior,1  :  1,La Equidad,Metropolitano Roberto Meléndez,2015,Finalización
Fecha 6,Deportivo Pasto,3  :  0,Uniautónoma,Departamental Libertad,2015,Finalización
Fecha 6,Deportivo Cali,0  :  0,Águilas Doradas,Deportivo Cali,2015,Finalización
Fecha 6,Cúcuta Deportivo,0  :  0,Cortuluá,General Santander,2015,Finalización
Fecha 6,Once Caldas,1  :  1,Jaguares,Palogrande,2015,Finalización
Fecha 6,Millonarios,1  :  0,Deportes Tolima,Nemesio Camacho El Campín,2015,Finalización
Fecha 6,Patriotas,0  :  1,Atlético Nacional,La Independencia,2015,Finalización
Fecha 7,Alianza Petrolera,1  :  0,Jaguares,Daniel Villa Zapata,2015,Finalización
Fecha 7,Uniautónoma,1  :  1,Atlético Nacional,Metropolitano Roberto Meléndez,2015,Finalización
Fecha 7,Millonarios,1  :  1,Deportivo Cali,Nemesio Camacho El Campín,2015,Finalización
Fecha 7,Cúcuta Deportivo,0  :  1,Atlético Huila,General Santander,2015,Finalización
Fecha 7,Independiente Medellín,1  :  0,Deportivo Pasto,Atanasio Girardot,2015,Finalización
Fecha 7,Boyacá Chicó,0  :  1,Once Caldas,Metropolitano de Techo,2015,Finalización
