Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Independiente Medellín,3  :  0,Atlético Huila,Atanasio Girardot,2018,Apertura
Fecha 1,Rionegro Águilas,0  :  0,Deportivo Pasto,Alberto Grisales,2018,Apertura
Fecha 1,Once Caldas,2  :  0,Jaguares,Palogrande,2018,Apertura
Fecha 1,Leones,1  :  2,América de Cali,Metropolitano de Ditaires,2018,Apertura
Fecha 1,Deportivo Cali,0  :  0,Envigado F. C.,Deportivo Cali,2018,Apertura
Fecha 1,Junior,1  :  0,Atlético Bucaramanga,Metropolitano Roberto Meléndez,2018,Apertura
Fecha 1,Deportes Tolima,0  :  1,Atlético Nacional,Manuel Murillo Toro,2018,Apertura
Fecha 1,Santa Fe,0  :  2,Patriotas,Nemesio Camacho El Campín,2018,Apertura
Fecha 1,Boyacá Chicó,1  :  1,Millonarios,La Independencia,2018,Apertura
Fecha 1,La Equidad,0  :  0,Alianza Petrolera,Metropolitano de Techo,2018,Apertura
Fecha 2,Envigado F. C.,2  :  0,Rionegro Águilas,Polideportivo Sur,2018,Apertura
Fecha 2,Atlético Huila,1  :  0,Deportivo Cali,Manuel Murillo Toro,2018,Apertura
Fecha 2,Alianza Petrolera,1  :  0,Leones,Daniel Villa Zapata,2018,Apertura
Fecha 2,América de Cali,1  :  1,Deportes Tolima,Olímpico Pascual Guerrero,2018,Apertura
Fecha 2,Atlético Nacional,1  :  0,Santa Fe,Atanasio Girardot,2018,Apertura
Fecha 2,Boyacá Chicó,1  :  2,Independiente Medellín,La Independencia,2018,Apertura
Fecha 2,Jaguares,1  :  0,La Equidad,Armando Tuirán Paternina,2018,Apertura
Fecha 2,Millonarios,1  :  0,Patriotas,Nemesio Camacho El Campín,2018,Apertura
Fecha 2,Atlético Bucaramanga,1  :  2,Once Caldas,Alfonso López,2018,Apertura
Fecha 2,Deportivo Pasto,2  :  0,Junior,Departamental Libertad,2018,Apertura
Fecha 3,Rionegro Águilas,0  :  0,Atlético Huila,Alberto Grisales,2018,Apertura
Fecha 3,Deportes Tolima,3  :  1,Alianza Petrolera,Manuel Murillo Toro,2018,Apertura
Fecha 3,Leones,0  :  0,Jaguares,Metropolitano de Ditaires,2018,Apertura
Fecha 3,Deportivo Cali,4  :  0,Boyacá Chicó,Deportivo Cali,2018,Apertura
Fecha 3,Independiente Medellín,1  :  0,Millonarios,Atanasio Girardot,2018,Apertura
Fecha 3,La Equidad,0  :  0,Atlético Bucaramanga,Metropolitano de Techo,2018,Apertura
Fecha 3,Once Caldas,3  :  0,Deportivo Pasto,Palogrande,2018,Apertura
Fecha 3,Patriotas,3  :  1,Atlético Nacional,La Independencia,2018,Apertura
Fecha 3,Junior,0  :  3,Envigado F. C.,Metropolitano Roberto Meléndez,2018,Apertura
Fecha 3,Santa Fe,3  :  0,América de Cali,Nemesio Camacho El Campín,2018,Apertura
Fecha 4,Jaguares,2  :  0,Deportes Tolima,Armando Tuirán Paternina,2018,Apertura
Fecha 4,Boyacá Chicó,1  :  2,Rionegro Águilas,La Independencia,2018,Apertura
Fecha 4,Independiente Medellín,2  :  1,Deportivo Cali,Atanasio Girardot,2018,Apertura
Fecha 4,Alianza Petrolera,2  :  1,Santa Fe,Daniel Villa Zapata,2018,Apertura
Fecha 4,Envigado F. C.,1  :  0,Once Caldas,Polideportivo Sur,2018,Apertura
Fecha 4,Atlético Bucaramanga,2  :  2,Leones,Alfonso López,2018,Apertura
Fecha 4,América de Cali,2  :  0,Patriotas,Olímpico Pascual Guerrero,2018,Apertura
