Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Millonarios,1  :  0,Envigado F. C.,Palogrande,2021,Apertura
Fecha 1,Junior,1  :  0,Independiente Medellín,Metropolitano Roberto Meléndez,2021,Apertura
Fecha 1,Deportivo Pasto,2  :  2,La Equidad,Departamental Libertad,2021,Apertura
Fecha 1,Atlético Nacional,2  :  0,Santa Fe,Atanasio Girardot,2021,Apertura
Fecha 1,Deportivo Cali,1  :  0,Jaguares,Deportivo Cali,2021,Apertura
Fecha 1,Deportes Tolima,1  :  1,Once Caldas,Manuel Murillo Toro,2021,Apertura
Fecha 1,Atlético Bucaramanga,2  :  0,Boyacá Chicó,Alfonso López,2021,Apertura
Fecha 1,Alianza Petrolera,2  :  2,Deportivo Pereira,Daniel Villa Zapata,2021,Apertura
Fecha 1,Patriotas,0  :  1,América de Cali,La Independencia,2021,Apertura
Fecha 2,Independiente Medellín,2  :  1,Patriotas,Atanasio Girardot,2021,Apertura
Fecha 2,Envigado F. C.,0  :  1,Deportivo Pasto,Polideportivo Sur,2021,Apertura
Fecha 2,América de Cali,1  :  1,Águilas Doradas,Francisco Rivera Escobar,2021,Apertura
Fecha 2,Jaguares,2  :  1,Atlético Bucaramanga,Jaraguay,2021,Apertura
Fecha 2,Deportivo Pereira,0  :  1,Deportivo Cali,Hernán Ramírez Villegas,2021,Apertura
Fecha 2,La Equidad,1  :  0,Atlético Nacional,Municipal Héctor El Zipa González,2021,Apertura
Fecha 2,Once Caldas,1  :  2,Junior,Palogrande,2021,Apertura
Fecha 2,Boyacá Chicó,0  :  1,Millonarios,La Independencia,2021,Apertura
Fecha 2,Santa Fe,3  :  2,Deportes Tolima,Nemesio Camacho El Campín,2021,Apertura
Fecha 3,Jaguares,2  :  0,Alianza Petrolera,Jaraguay,2021,Apertura
Fecha 3,Deportivo Cali,1  :  1,Envigado F. C.,Deportivo Cali,2021,Apertura
Fecha 3,Patriotas,1  :  1,Boyacá Chicó,La Independencia,2021,Apertura
Fecha 3,Águilas Doradas,0  :  2,Santa Fe,Alberto Grisales,2021,Apertura
Fecha 3,Atlético Nacional,5  :  2,Deportivo Pereira,Atanasio Girardot,2021,Apertura
Fecha 3,Junior,2  :  1,América de Cali,Metropolitano Roberto Meléndez,2021,Apertura
Fecha 3,Deportes Tolima,1  :  0,La Equidad,Manuel Murillo Toro,2021,Apertura
Fecha 3,Atlético Bucaramanga,0  :  1,Independiente Medellín,Alfonso López,2021,Apertura
Fecha 3,Millonarios,4  :  3,Once Caldas,Municipal Héctor El Zipa González,2021,Apertura
Fecha 4,Envigado F. C.,1  :  1,Jaguares,Polideportivo Sur,2021,Apertura
Fecha 4,Boyacá Chicó,0  :  1,Deportivo Cali,La Independencia,2021,Apertura
Fecha 4,Deportivo Pasto,0  :  0,Atlético Nacional,Departamental Libertad,2021,Apertura
Fecha 4,La Equidad,1  :  0,Junior,Municipal Héctor El Zipa González,2021,Apertura
Fecha 4,Deportivo Pereira,0  :  0,Deportes Tolima,Hernán Ramírez Villegas,2021,Apertura
Fecha 4,Alianza Petrolera,1  :  2,Águilas Doradas,Daniel Villa Zapata,2021,Apertura
Fecha 4,América de Cali,0  :  0,Atlético Bucaramanga,Olímpico Pascual Guerrero,2021,Apertura
Fecha 4,Santa Fe,1  :  0,Patriotas,Nemesio Camacho El Campín,2021,Apertura
Fecha 4,Independiente Medellín,0  :  0,Millonarios,Atanasio Girardot,2021,Apertura
Fecha 5,Once Caldas,3  :  1,Envigado F. C.,Palogrande,2021,Apertura
Fecha 5,Junior,2  :  0,Alianza Petrolera,Metropolitano Roberto Meléndez,2021,Apertura
Fecha 5,Atlético Nacional,2  :  0,Boyacá Chicó,Atanasio Girardot,2021,Apertura
