Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Real Cartagena,4 - 2,Junior,Diego Carvajal,2011,Apertura
Fecha 1,Deportes Tolima,1 - 0,Independiente Santa Fe,Manuel Murillo Toro,2011,Apertura
Fecha 1,Boyacá Chicó,1 - 1,Once Caldas,De La Independencia,2011,Apertura
Fecha 1,Millonarios,2 - 3,Atlético Huila,El Campín,2011,Apertura
Fecha 1,Itagüí Ditaires,2 - 1,Independiente Medellín,Ditaires,2011,Apertura
Fecha 1,Deportes Quindío,2 - 0,América de Cali,Centenario,2011,Apertura
Fecha 1,Deportivo Cali,1 - 2,Cúcuta Deportivo,Deportivo Cali,2011,Apertura
Fecha 1,Atlético Nacional,2 - 3,Envigado F.C.,Atanasio Girardot,2011,Apertura
Fecha 1,Deportivo Pereira,0 - 1,La Equidad,Alfonso López,2011,Apertura
Fecha 2,Junior,1 - 0,Tolima,Metropolitano Roberto Meléndez,2011,Apertura
Fecha 2,Equidad,1 - 1,At. Nacional,El Campín,2011,Apertura
Fecha 2,Once Caldas,2 - 0,Cali,Palogrande,2011,Apertura
Fecha 2,Santa Fe,0 - 1,Quindío,El Campín,2011,Apertura
Fecha 2,Envigado,2 - 2,Itagüí,Polideportivo Sur,2011,Apertura
Fecha 2,América,3 - 2,Pereira,Francisco Rivera Escobar,2011,Apertura
Fecha 2,At. Huila,3 - 0,Real Cartagena,Guillermo Plazas Alcid,2011,Apertura
Fecha 2,Medellín,1 - 0,Boyacá Chicó,Atanasio Girardot,2011,Apertura
Fecha 2,Cúcuta,0 - 1,Millonarios,General Santander,2011,Apertura
Fecha 3,Tolima,3 - 1,At. Huila,Manuel Murillo Toro,2011,Apertura
Fecha 3,Millonarios,0 - 2,Once Caldas,El Campín,2011,Apertura
Fecha 3,At. Nacional,3 - 1,América,Atanasio Girardot,2011,Apertura
Fecha 3,Boyacá Chicó,1 - 2,Itagüí,De La Independencia,2011,Apertura
Fecha 3,Real Cartagena,1 - 1,Cúcuta,Diego Carvajal,2011,Apertura
Fecha 3,Quindío,1 - 1,Junior,Centenario,2011,Apertura
Fecha 3,Pereira,1 - 1,Santa Fe,Alfonso López,2011,Apertura
Fecha 3,Envigado,0 - 0,Equidad,Polideportivo Sur,2011,Apertura
Fecha 3,Cali,0 - 2,Medellín,Deportivo Cali,2011,Apertura
