Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Patriotas,1  :  1,Atlético Huila,La Independencia,2017,Finalización
Fecha 1,Deportivo Pasto,1  :  1,Cortuluá,Departamental Libertad,2017,Finalización
Fecha 1,Deportes Tolima,0  :  0,Jaguares,Manuel Murillo Toro,2017,Finalización
Fecha 1,Alianza Petrolera,2  :  1,Atlético Bucaramanga,Daniel Villa Zapata,2017,Finalización
Fecha 1,Independiente Medellín,1  :  1,Millonarios,Atanasio Girardot,2017,Finalización
Fecha 1,Deportivo Cali,4  :  2,Envigado F. C.,Deportivo Cali,2017,Finalización
Fecha 1,Tigres,1  :  0,Once Caldas,Metropolitano de Techo,2017,Finalización
Fecha 1,Junior,3  :  0,La Equidad,Metropolitano Roberto Meléndez,2017,Finalización
Fecha 1,Rionegro Águilas,0  :  1,América de Cali,Alberto Grisales,2017,Finalización
Fecha 1,Santa Fe,1  :  0,Atlético Nacional,Nemesio Camacho El Campín,2017,Finalización
Fecha 2,Cortuluá,1  :  0,Tigres,Olímpico Pascual Guerrero,2017,Finalización
Fecha 2,La Equidad,3  :  2,Deportivo Pasto,Metropolitano de Techo,2017,Finalización
Fecha 2,Once Caldas,0  :  0,Patriotas,Palogrande,2017,Finalización
Fecha 2,Envigado F. C.,0  :  2,Independiente Medellín,Polideportivo Sur,2017,Finalización
Fecha 2,América de Cali,3  :  0,Deportes Tolima,Olímpico Pascual Guerrero,2017,Finalización
Fecha 2,Jaguares,0  :  1,Junior,Jaraguay,2017,Finalización
Fecha 2,Atlético Huila,2  :  2,Deportivo Cali,Guillermo Plazas Alcid,2017,Finalización
Fecha 2,Millonarios,0  :  1,Santa Fe,Nemesio Camacho El Campín,2017,Finalización
Fecha 2,Alianza Petrolera,2  :  0,Rionegro Águilas,Daniel Villa Zapata,2017,Finalización
Fecha 2,Atlético Nacional,2  :  1,Atlético Bucaramanga,Atanasio Girardot,2017,Finalización
Fecha 3,Patriotas,2  :  2,Cortuluá,La Independencia,2017,Finalización
Fecha 3,Deportivo Pasto,3  :  1,Tigres,Departamental Libertad,2017,Finalización
