Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Deportes Quindío,0  :  1,Deportivo Pasto,Centenario,2013,Apertura
Fecha 1,Alianza Petrolera,0  :  3,Santa Fe,Santiago de las Atalayas,2013,Apertura
Fecha 1,Patriotas,1  :  1,Boyacá Chicó,La Independencia,2013,Apertura
Fecha 1,Deportivo Cali,2  :  1,Once Caldas,Pascual Guerrero,2013,Apertura
Fecha 1,Atlético Nacional,3  :  0,Atlético Huila,Atanasio Girardot,2013,Apertura
Fecha 1,Junior,4  :  0,Envigado F. C.,Metropolitano,2013,Apertura
Fecha 1,Millonarios,3  :  1,La Equidad,El Campín,2013,Apertura
Fecha 1,Deportes Tolima,1  :  0,Independiente Medellín,Manuel Murillo Toro,2013,Apertura
Fecha 1,Itagüí F. C.,0  :  0,Cúcuta Deportivo,Ciudad de Itagüí,2013,Apertura
Fecha 2,La Equidad,0  :  1,Alianza Petrolera,Metropolitano de Techo,2013,Apertura
Fecha 2,Deportivo Pasto,3  :  2,Patriotas,Libertad,2013,Apertura
Fecha 2,Atlético Huila,1  :  1,Itagüí F. C.,Guillermo Plazas Alcid,2013,Apertura
Fecha 2,Boyacá Chicó,1  :  2,Deportivo Cali,La Independencia,2013,Apertura
Fecha 2,Santa Fe,2  :  2,Atlético Nacional,El Campín,2013,Apertura
Fecha 2,Once Caldas,2  :  1,Junior,Palogrande,2013,Apertura
Fecha 2,Envigado F. C.,2  :  2,Deportes Tolima,Polideportivo Sur,2013,Apertura
Fecha 2,Independiente Medellín,0  :  0,Millonarios,Atanasio Girardot,2013,Apertura
Fecha 2,Cúcuta Deportivo,2  :  0,Deportes Quindío,General Santander,2013,Apertura
Fecha 3,Deportes Quindío,0  :  0,Atlético Huila,Centenario,2013,Apertura
Fecha 3,Patriotas,1  :  3,Cúcuta Deportivo,La Independencia,2013,Apertura
Fecha 3,Junior,2  :  2,Boyacá Chicó,Metropolitano,2013,Apertura
Fecha 3,Millonarios,1  :  0,Envigado F. C.,El Campín,2013,Apertura
Fecha 3,Atlético Nacional,4  :  0,Alianza Petrolera,Atanasio Girardot,2013,Apertura
Fecha 3,Itagüí F. C.,4  :  0,Santa Fe,Ciudad de Itagüí,2013,Apertura
Fecha 3,Deportes Tolima,2  :  2,Once Caldas,Manuel Murillo Toro,2013,Apertura
Fecha 3,La Equidad,1  :  0,Independiente Medellín,Metropolitano de Techo,2013,Apertura
Fecha 3,Deportivo Cali,2  :  2,Deportivo Pasto,Pascual Guerrero,2013,Apertura
Fecha 4,Envigado F. C.,1  :  0,La Equidad,Polideportivo Sur,2013,Apertura
Fecha 4,Atlético Huila,1  :  0,Patriotas,Guillermo Plazas Alcid,2013,Apertura
Fecha 4,Once Caldas,1  :  0,Millonarios,Palogrande,2013,Apertura
Fecha 4,Boyacá Chicó,3  :  0,Deportes Tolima,La Independencia,2013,Apertura
Fecha 4,Atlético Nacional,1  :  1,Itagüí F. C.,Atanasio Girardot,2013,Apertura
Fecha 4,Alianza Petrolera,0  :  1,Independiente Medellín,Santiago de las Atalayas,2013,Apertura
Fecha 4,Deportivo Pasto,1  :  0,Junior,Libertad,2013,Apertura
Fecha 4,Cúcuta Deportivo,0  :  0,Deportivo Cali,General Santander,2013,Apertura
