Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Alianza Petrolera,0 : 2,La Equidad,Daniel Villa Zapata,2018,Finalización
Fecha 1,Deportivo Pasto,0 : 1,Rionegro Águilas,Departamental Libertad,2018,Finalización
Fecha 1,Atlético Bucaramanga,0 : 0,Junior,Alfonso López,2018,Finalización
Fecha 1,Envigado F. C.,1 : 1,Deportivo Cali,Polideportivo Sur,2018,Finalización
Fecha 1,Patriotas,0 : 0,Santa Fe,La Independencia,2018,Finalización
Fecha 1,Jaguares,0 : 1,Once Caldas,Jaraguay,2018,Finalización
Fecha 1,Millonarios,2 : 2,Boyacá Chicó,Nemesio Camacho El Campín,2018,Finalización
Fecha 1,Atlético Huila,0 : 0,Independiente Medellín,Guillermo Plazas Alcid,2018,Finalización
Fecha 1,América de Cali,1 : 0,Leones,Olímpico Pascual Guerrero,2018,Finalización
Fecha 1,Atlético Nacional,1 : 2,Deportes Tolima,Atanasio Girardot,2018,Finalización
Fecha 2,La Equidad,2 : 0,Jaguares,Metropolitano de Techo,2018,Finalización
Fecha 2,Once Caldas,2 : 1,Atlético Bucaramanga,Palogrande,2018,Finalización
Fecha 2,Rionegro Águilas,1 : 1,Envigado F. C.,Alberto Grisales,2018,Finalización
Fecha 2,Deportivo Cali,1 : 0,Atlético Huila,Deportivo Cali,2018,Finalización
Fecha 2,Santa Fe,0 : 2,Atlético Nacional,Nemesio Camacho El Campín,2018,Finalización
Fecha 2,Deportes Tolima,1 : 0,América de Cali,Manuel Murillo Toro,2018,Finalización
Fecha 2,Junior,3 : 0,Deportivo Pasto,Romelio Martínez,2018,Finalización
Fecha 2,Patriotas,0 : 2,Millonarios,La Independencia,2018,Finalización
Fecha 2,Independiente Medellín,2 : 0,Boyacá Chicó,Atanasio Girardot,2018,Finalización
Fecha 2,Leones,0 : 1,Alianza Petrolera,Metropolitano de Itagüí,2018,Finalización
Fecha 3,Atlético Nacional,0 : 0,Patriotas,Atanasio Girardot,2018,Finalización
Fecha 3,Atlético Huila,2 : 2,Rionegro Águilas,Guillermo Plazas Alcid,2018,Finalización
Fecha 3,Atlético Bucaramanga,0 : 2,La Equidad,Alfonso López,2018,Finalización
Fecha 3,Envigado F. C.,0 : 1,Junior,Polideportivo Sur,2018,Finalización
Fecha 3,Millonarios,0 : 1,Independiente Medellín,Nemesio Camacho El Campín,2018,Finalización
Fecha 3,Boyacá Chicó,1 : 1,Deportivo Cali,La Independencia,2018,Finalización
Fecha 3,América de Cali,0 : 0,Santa Fe,Olímpico Pascual Guerrero,2018,Finalización
Fecha 3,Deportivo Pasto,0 : 0,Once Caldas,Departamental Libertad,2018,Finalización
Fecha 3,Alianza Petrolera,4 : 2,Deportes Tolima,Daniel Villa Zapata,2018,Finalización
Fecha 3,Jaguares,2 : 0,Leones,Jaraguay,2018,Finalización
Fecha 4,Deportes Tolima,2 : 2,Jaguares,Manuel Murillo Toro,2018,Finalización
Fecha 4,Leones,0 : 1,Atlético Bucaramanga,Metropolitano de Itagüí,2018,Finalización
Fecha 4,Rionegro Águilas,1 : 0,Boyacá Chicó,Alberto Grisales,2018,Finalización
Fecha 4,Patriotas,0 : 0,América de Cali,La Independencia,2018,Finalización
Fecha 4,Santa Fe,4 : 0,Alianza Petrolera,Nemesio Camacho El Campín,2018,Finalización
Fecha 4,Deportivo Cali,3 : 2,Independiente Medellín,Deportivo Cali,2018,Finalización
Fecha 4,La Equidad,1 : 0,Deportivo Pasto,Metropolitano de Techo,2018,Finalización
Fecha 4,Once Caldas,3 : 1,Envigado F. C.,Palogrande,2018,Finalización
Fecha 4,Junior,3 : 0,Atlético Huila,Romelio Martínez,2018,Finalización
Fecha 4,Atlético Nacional,1 : 1,Millonarios,Atanasio Girardot,2018,Finalización
Fecha 5,Alianza Petrolera,3 : 2,Patriotas,Daniel Villa Zapata,2018,Finalización
Fecha 5,América de Cali,0 : 2,Atlético Nacional,Olímpico Pascual Guerrero,2018,Finalización
Fecha 5,Boyacá Chicó,2 : 1,Junior,La Independencia,2018,Finalización
Fecha 5,Atlético Bucaramanga,0 : 2,Deportes Tolima,Alfonso López,2018,Finalización
Fecha 5,Independiente Medellín,1 : 0,Rionegro Águilas,Atanasio Girardot,2018,Finalización
Fecha 5,Millonarios,0 : 0,Deportivo Cali,Nemesio Camacho El Campín,2018,Finalización
Fecha 5,Atlético Huila,1 : 2,Once Caldas,Guillermo Plazas Alcid,2018,Finalización
Fecha 5,Jaguares,0 : 0,Santa Fe,Jaraguay,2018,Finalización
Fecha 5,Envigado F. C.,0 : 1,La Equidad,Polideportivo Sur,2018,Finalización
Fecha 5,Deportivo Pasto,2 : 1,Leones,Departamental Libertad,2018,Finalización
Fecha 6,La Equidad,1 : 0,Atlético Huila,Metropolitano de Techo,2018,Finalización
Fecha 6,Atlético Nacional,3 : 2,Alianza Petrolera,Atanasio Girardot,2018,Finalización
Fecha 6,Leones,1 : 1,Envigado F. C.,Metropolitano de Itagüí,2018,Finalización
Fecha 6,Santa Fe,1 : 1,Atlético Bucaramanga,Nemesio Camacho El Campín,2018,Finalización
Fecha 6,Rionegro Águilas,2 : 0,Deportivo Cali,Alberto Grisales,2018,Finalización
